file,minerva_category,count,share
news_news_llm_retry_df_qa.combined_balanced_150.csv,Recall and Edit,22,0.14666666666666667
news_news_llm_retry_df_qa.combined_balanced_150.csv,Match and Compare,22,0.14666666666666667
news_news_llm_retry_df_qa.combined_balanced_150.csv,Search,22,0.14666666666666667
news_news_llm_retry_df_qa.combined_balanced_150.csv,Compute on Sets and Lists,21,0.14
news_news_llm_retry_df_qa.combined_balanced_150.csv,Spot the Differences,21,0.14
news_news_llm_retry_df_qa.combined_balanced_150.csv,Stateful Processing,21,0.14
news_news_llm_retry_df_qa.combined_balanced_150.csv,Composite,21,0.14
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Recall and Edit,22,0.14666666666666667
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Match and Compare,22,0.14666666666666667
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Search,22,0.14666666666666667
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Stateful Processing,21,0.14
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Spot the Differences,21,0.14
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Compute on Sets and Lists,21,0.14
scifi_20260312T170655Z_df_qa.combined_balanced_150.csv,Composite,21,0.14
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Recall and Edit,22,0.14666666666666667
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Search,22,0.14666666666666667
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Match and Compare,22,0.14666666666666667
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Stateful Processing,21,0.14
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Compute on Sets and Lists,21,0.14
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Spot the Differences,21,0.14
thriller_20260311T152054Z_df_qa.combined_balanced_150.csv,Composite,21,0.14
