id,chapter,question,answer,evidence,date,location,entity,content,retrieval_type_est,minerva_category_est,cue_est
1,1,What is the name of the course where Ezra Edwards is competing?,Bethpage Black Course,Bethpage Black Course. Ezra Edwards. Demonstrated cat leaps.,"September 13, 2025",Bethpage Black Course,Ezra Edwards,Parkour Workshop,Spaces,Search,"(*, *, ent, *)"
2,2,What is the name of the museum where Chloe's designs are being unveiled?,American Museum of Natural History,American Museum of Natural History.,"September 22, 2026",American Museum of Natural History,Chloe Castillo,Fashion Show,Spaces,Search,"(*, *, *, *)"
3,3,"Who explained post-processing techniques on September 22, 2026?",Henry Reed,Henry Reed. Explained post-processing techniques.,"September 22, 2026",Port Jefferson,Henry Reed,Photography Exhibition,Entities,Search,"(t, *, *, *)"
4,4,What was the name of the park where Zoe performed?,Hither Hills State Park,"The park itself, , felt secretive, the trees pressing close, as if the night was being held captive between earth and sky. Hither Hills State Park.","May 07, 2024",Hither Hills State Park,Zoe Brown,Karaoke Night,Spaces,Search,"(*, *, *, *)"
5,5,What is the name of the elevated promenade where Logan is standing?,The High Line,"Along the elevated promenade, steel and glass rose into the cool air like a skyline reborn—this was the , transformed tonight into a maze of polished tables and the murmur of ambition.","March 23, 2024",High Line,Logan Diaz,Business Networking Event,Spaces,Search,"(*, *, *, *)"
6,6,What was the date that hung in the air during the incident?,"May 31, 2024","The date hung in the air: . The clock faces in every corner seemed to sync to this unspoken fact, marking the.","May 31, 2024",Woolworth Building,Julian Ross,Tech Hackathon,Times,Search,"(*, *, *, *)"
7,7,What is the name of the park where Benjamin is conducting his ice preservation talks?,Washington Square Park,"In this moment of quiet before another. Washington Square Park. February 27, 2026.","February 27, 2026",Washington Square Park,Benjamin Green,Ice Sculpture Exhibition,Spaces,Search,"(*, *, *, *)"
8,8,What was the date of the workshop?,"September 27, 2025","Today’s date blinked at him from his phone, , scrawled in the digital corner with all the gravitas of a Monday morning.","September 27, 2025",Snug Harbor Cultural Center,Owen Thomas,Parkour Workshop,Times,Search,"(*, *, *, *)"
9,9,What date was the performance?,"February 27, 2026","The voice—clear as crystal, yet vibrating with ancient sorrow—echoed through the space. February 27, 2026.","February 27, 2026",Statue of Liberty,Mila Gonzalez,Theater Performance,Times,Search,"(*, *, *, *)"
10,10,What day was the Midnight Premier and Poster Expo held?,"October 13, 2024","At precisely the stated beginning of the “Midnight Premier and Poster Expo” at 7:15 p.m., Henry stepped onto the bridge proper.","October 13, 2024",Queensboro Bridge,Henry Reed,Film Festival,Times,Search,"(*, *, *, *)"
11,11,Who conducted ice-themed music performances in Washington Square Park?,Henry Reed,"She handed out pamphlets, her fingers cool from the ice blocks she handled. Henry Reed. Conducted ice-themed music performances.","May 11, 2026",Washington Square Park,Henry Reed,Ice Sculpture Exhibition,Entities,Search,"(*, s, *, *)"
12,12,What is the name of the place where Chloe is waiting?,The High Line,"High Line. May 11, 2026.","May 11, 2026",High Line,Chloe Castillo,Parkour Workshop,Spaces,Search,"(*, *, *, *)"
13,13,What is the name of the self-declared liquid archaeologist?,Axl Mims,"I, Axl Mims—a self-declared liquid archaeologist with a passion for hops and a knack for organizing slightly chaotic gatherings—stood at the entrance,","October 13, 2024",Woolworth Building,Scarlett Thomas,Craft Beer Festival,Event contents,Search,"(*, *, *, *)"
14,14,What was Benjamin's goal at the Snug Harbor Cultural Center?,To form a team and build something that would catch the eye of the judges,"He had come prepared, not just with algorithms and frameworks, but with a quiet resolve to form a team, to build something that would catch the eye of the judges and maybe, just maybe, the spark of another kind of attention.","April 09, 2026",Snug Harbor Cultural Center,Benjamin Green,Tech Hackathon,Event contents,Search,"(*, s, *, *)"
15,15,What is the name of the host of the evening's astronomy trivia contests?,Levi Rodriguez,"Finally, Levi Rodriguez, host of the evening’s astronomy trivia contests, raised a gloved hand.","December 26, 2026",American Museum of Natural History,Levi Rodriguez,Astronomy Night,Entities,Search,"(*, *, *, *)"
16,16,What date was the Hackathon held on?,"March 23, 2024","Port Jefferson. March 23, 2024.","March 23, 2024",Port Jefferson,Zoe Brown,Tech Hackathon,Times,Search,"(*, *, *, *)"
17,17,What was the name of the project that Zoe was presenting?,neural interface for real-time translation,her project—a neural interface for real-time translation—hovering between finished and broken.,"June 14, 2025",High Line,Zoe Brown,Tech Hackathon,Event contents,Search,"(*, *, *, *)"
18,18,What was the title of the speech Mila had rehearsed with the audience in mind?,the delicate art of audience interaction,"She had spoken, that day, about the delicate art of audience interaction, how a whisper could fracture a mood or heal it with a single glance.","January 03, 2026",St. Patrick's Cathedral,Mila Gonzalez,Theater Performance,Event contents,Search,"(*, *, *, *)"
19,19,What was the date mentioned in the chapter?,"February 27, 2026","The date hung in his mind: , a year that promised closure but offered only silence.","February 27, 2026",High Line,Jackson Ramos,Theater Performance,Times,Search,"(*, *, *, *)"
20,20,What is the name of the bridge where the historical fashion show is taking place?,Brooklyn Bridge,"Across the span, actors assembled for a Civil War ball, their costuming immaculate, their gestures stiff and ritualistic.","September 03, 2026",Brooklyn Bridge,Hazel Lewis,Historical Reenactment,Spaces,Search,"(*, *, *, *)"
21,21,What is the name of the bridge where the event is taking place?,The Williamsburg Bridge,The Williamsburg Bridge.,"February 27, 2026",Williamsburg Bridge,Julian Ross,Tech Hackathon,Spaces,Search,"(*, *, *, *)"
22,22,What day was the compound bow competition held?,"March 23, 2024","Washington Square Park. March 23, 2024. Mila Gonzalez.","March 23, 2024",Washington Square Park,Mila Gonzalez,Archery Tournament,Times,Search,"(*, *, *, *)"
23,23,Who is the designer of the blue-lacquered dress that Lily is wearing?,Quill Womack,"The designer, Quill Womack, had stopped by earlier to discuss her vision,","April 09, 2026",Brooklyn Museum,Lily Nguyen,Fashion Show,Entities,Search,"(*, *, *, *)"
24,24,What is the key to understanding learning analytics?,Interpreting patterns hidden within data streams.,the key to understanding learning analytics is in how we interpret the patterns hidden within these data streams.,"December 03, 2026",New York Botanical Garden,Ezra Edwards,Educational Workshop,Event contents,Search,"(*, *, *, *)"
25,25,What is the name of the protagonist in the play?,The protagonist is a ghost,a ghost in the steel's shadow,"September 27, 2025",One World Trade Center,Samuel Parker,Theater Performance,Event contents,Search,"(*, *, *, *)"
26,26,What date was burned into Mila's bones?,"June 14, 2025","The date, , was not written upon the invitation but burned into her bones with every detail she selected.","June 14, 2025",Brooklyn Museum,Mila Gonzalez,Murder Mystery Dinner,Times,Search,"(*, *, *, *)"
27,27,What was the event that Noah was initially supposed to attend?,The TED Talk: The Power of Resilience,His phone’s screen still showed the reminder: “TED Talk: The Power of Resilience – 4:50 PM.”,"September 22, 2026",Williamsburg Bridge,Noah Williams,TED Talk,Event contents,Search,"(*, *, *, *)"
