source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,source_file,n_gold,gold_bin
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:16:59+00:00,dp,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]","only_in_A: Sedna Long Range Observatory is not mentioned in the provided text.

only_in_B: 
- Digital afterlife server shutdown occurred.
- Technicians were observing the servers and monitoring the systems.
- The air felt thicker and charged.
- Monitors displayed static and glitching shards.
- Servers' steady rhythm faltered and became stuttering.
- The date noted was September 2",[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""N/A""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer does not mention any protagonists (from the ground-truth) in part A, and does not describe any specific events (from the ground-truth) in part B; it only provides a general statement about the Hydra Cloud Facility without referencing the",Spot the Differences,t|ent|c,ok,scifi_qwen25_14b_dp.answers.jsonl,2,2
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:01+00:00,dp,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],unsure,[],[0.0],0,0.0,0.0,0.0,0,"The AI did not identify any items related to Scarlett Thomas's experiences on April 09, 2226, as there are no events provided in the ground truth for that date.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI did not identify any items related to Scarlett Thomas's experiences on April 09, 2226, as there are no events provided in the ground truth for that date.""
}",Compute on Sets and Lists,s|c,ok,scifi_qwen25_14b_dp.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:04+00:00,dp,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],"Unsure, the provided text does not mention a subspace antenna failure or any events occurring on December 26, 2226, involving Zoe Brown at the Europa Subsurface Laboratory. The closest reference is to Zoe Brown dealing with a vacuum seal deterioration at a Dyson Swarm Control on May 07, 2224. There is no information regarding an event at Europa",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""Unsure"", ""the provided text does not mention a subspace antenna failure or any events occurring on December 26, 2226, involving Zoe Brown at the Europa Subsurface Laboratory""],
  ""matching_scores"": [0.0, 0.0],
  ""explanation"": ""The AI answer does not reference any of the ground-tr",Composite,,ok,scifi_qwen25_14b_dp.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:07+00:00,dp,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"The AI answer 'unsure' does not identify any entities involved in the event at the Sedna Long Range Observatory on April 09, 2226, and thus does not match any ground-truth items.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer 'unsure' does not identify any entities involved in the event at the Sedna Long Range Observatory on April 09, 2226, and thus does not match any ground-truth items.""
}",Match and Compare,,ok,scifi_qwen25_14b_dp.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:08+00:00,dp,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],unsure,[],[],0,1.0,1.0,1.0,1,No specific dates for Daniel Lopez were mentioned or observed in the story's chronology in the provided information.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No specific dates for Daniel Lopez were mentioned or observed in the story's chronology in the provided information.""
}",Stateful Processing,t|s|c,ok,scifi_qwen25_14b_dp.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:10+00:00,dp,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['atmospheric scrubber failure', 'digital afterlife server shutdown', 'cryo-pod integrity breach']","At Hydra Cloud Facility, there was a digital afterlife server shutdown. The air felt thicker and charged, and the usual steady rhythm of the servers faltered, replaced by a stuttering noise. The main monitor's interface dissolved into static, and the afterlife simulation grid fractured into glitching shards, with data packets bleeding from the server racks in slow, red streams.",['digital afterlife server shutdown'],"[0.95, 0.0, 0.0]",1,1.0,0.333333,0.5,0,The AI identifies the 'digital afterlife server shutdown' from the description of server failures and the breakdown of the afterlife simulation grid.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""digital afterlife server shutdown""],
  ""matching_scores"": [0.95],
  ""explanation"": ""The AI identifies the 'digital afterlife server shutdown' from the description of server failures and the breakdown of the afterlife simulation grid.""
}",Search,t|ent|c,ok,scifi_qwen25_14b_dp.answers.jsonl,3,3-5
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:12+00:00,dp,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],unsure,['bio-neural gel pack infection'],[0.0],0,0.0,0.0,0.0,0,The AI answer did not list any protagonists; it provided uncertainty rather than specific names.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""bio-neural gel pack infection""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer did not list any protagonists; it provided uncertainty rather than specific names.""
}",Stateful Processing,t|s|ent,ok,scifi_qwen25_14b_dp.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:15+00:00,dp,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were described in the AI answer, so there are no shared items to identify.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were described in the AI answer, so there are no shared items to identify.""
}",Match and Compare,s|ent,ok,scifi_qwen25_14b_dp.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:18+00:00,dp,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],"There seems to be a discrepancy in your request. The provided text does not mention Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226. Instead, it describes events related to a cryo-pod integrity breach at the Nereid Weather Station involving Julian Ross and a digital afterlife server shutdown at the Hydra Cloud Facility involving",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""cryo-pod integrity breach"", ""Nereid Weather Station"", ""Julian Ross"", ""digital afterlife server shutdown"", ""Hydra Cloud Facility""],
  ""matching_scores"": [0.0, 0.0, 0.0, 0.0, 0.0],
  ""explanation"": ""The AI",Composite,,ok,scifi_qwen25_14b_dp.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T19:17:20+00:00,dp,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']",unsure,[],[0.0],0,0.0,0.0,0.0,0,"No dates were identified in the AI answer, so it did not match the ground-truth item.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""No dates were identified in the AI answer, so it did not match the ground-truth item.""
}",Compute on Sets and Lists,t,ok,scifi_qwen25_14b_dp.answers.jsonl,1,1
