q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known
11,1,972,"Reflect on events related to air quality emergency. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {air quality emergency})",Entities,all,{'Hazel Lewis'},{20},{20: 'Hazel Lewis'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,1,977,"Reflect on events related to landslide disaster. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {landslide disaster})",Entities,all,{'Mila Gonzalez'},{22},{22: 'Mila Gonzalez'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,1,982,"Reflect on events related to political assassination. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {political assassination})",Entities,all,{'Scarlett Thomas'},{45},{45: 'Scarlett Thomas'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,1,986,"Reflect on events related to sports venue riot. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {sports venue riot})",Entities,all,{'Logan Diaz'},{5},{5: 'Logan Diaz'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
11,1,989,"Reflect on events related to tuberculosis outbreak. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {tuberculosis outbreak})",Entities,all,{'Carter Stewart'},{31},{31: 'Carter Stewart'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,1,509,"Recall all events related to air quality emergency. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {air quality emergency})",Times,all,"{'September 03, 2026'}",{20},"{20: 'September 03, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,1,532,"Recall all events related to landslide disaster. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {landslide disaster})",Times,all,"{'March 23, 2024'}",{22},"{22: 'March 23, 2024'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,1,547,"Recall all events related to political assassination. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {political assassination})",Times,all,"{'June 14, 2025'}",{45},"{45: 'June 14, 2025'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,1,561,"Recall all events related to sports venue riot. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {sports venue riot})",Times,all,"{'March 23, 2024'}",{5},"{5: 'March 23, 2024'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
9,1,569,"Recall all events related to tuberculosis outbreak. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {tuberculosis outbreak})",Times,all,"{'October 27, 2024'}",{31},"{31: 'October 27, 2024'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,1,59,"Consider all events involving air quality emergency. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {air quality emergency})",Spaces,all,{'West Bengal'},{20},{20: 'West Bengal'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,1,176,"Consider all events involving landslide disaster. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {landslide disaster})",Spaces,all,{'Luzon Region'},{22},{22: 'Luzon Region'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,1,181,"Consider all events involving political assassination. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {political assassination})",Spaces,all,{'Maharashtra'},{45},{45: 'Maharashtra'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,1,185,"Consider all events involving sports venue riot. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {sports venue riot})",Spaces,all,{'Greater Mumbai'},{5},{5: 'Greater Mumbai'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
10,1,188,"Consider all events involving tuberculosis outbreak. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {tuberculosis outbreak})",Spaces,all,{'Kampong Cham Province'},{31},{31: 'Kampong Cham Province'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True
