source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,n_gold,gold_bin,source_file
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:0,0,0,27,"Story recall-and-edit: For query ""Consider all events involving both Mila Gonzalez and bridge collapse at Amman Governorate. Provide a list of all dates when these events occurred, without describing the events."", return an empty answer.",story_edit::empty,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Qwen3-32B-Judge,ok,ok,,,Recall and Edit,t,error,0,0,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:1,1,1,32,What was Benjamin Green doing the last time they were observed in the story's timeline?,Event contents,latest,['volcanic eruption'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Stateful Processing,t|s|c,error,1,1,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:2,2,2,27,"Story composite task: Use two story queries.
A) Consider all events involving both Sofia Ramos and mass shooting at Andalusia. Provide a list of all dates when these events occurred, without describing the events.
B) Consider all events involving both Julian Ross and flash flood emergency at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.",story_composite::difference_then_sort,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Qwen3-32B-Judge,ok,ok,,,Composite,t,error,0,0,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:3,3,3,11,"Story recall-and-edit: For query ""Reflect on events related to airport shutdown. Provide a list of all protagonists involved in these events, without describing the events."", return an empty answer.",story_edit::empty,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Qwen3-32B-Judge,ok,ok,,,Recall and Edit,t|s|ent,error,0,0,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:4,4,4,22,"Consider all events involving both Samuel Parker and bridge collapse. Provide a list of all dates when these events occurred, without describing the events.",Times,all,"['October 12, 2024', 'September 27, 2025']",,[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Search,t|s,error,2,2,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:5,5,5,27,"Consider all events involving both Carter Stewart and bridge collapse at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.",Times,all,"['January 03, 2026']",,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Search,t,error,1,1,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:6,6,6,18,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events involving Levi Rodriguez at Nairobi County. Provide a list of all dates when these events occurred, without describing the events."". Remove ""July 25, 2024"" from the answer. Return only the remaining items.",story_edit::remove_one,all,"['May 28, 2025']",,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Recall and Edit,t|c,error,1,1,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to fishing fleet loss that occurred on June 14, 2025. List all the locations where these events took place, without describing the events themselves.
B) Recall the events related to residential tower fire that occurred on February 27, 2026. List all the locations where these events took place, without describing the events themselves.
Return the intersection.",story_compare::intersection,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Qwen3-32B-Judge,ok,ok,,,Match and Compare,s|ent,error,0,0,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:8,8,8,25,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Think about the events related to water supply contamination that occurred at Minas Gerais on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.",story_state::latest_chapter,latest,['0'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Stateful Processing,ent,error,1,1,news_qwen3_4b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen3_4b_instruct_2047\news_qwen3_4b_dp.answers.jsonl,2026-04-08T10:25:50+00:00,dp,combined_q_idx:9,9,9,26,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the events involving both Levi Rodriguez and factory explosion on December 26, 2026. List all the locations where these events took place, without describing the events themselves.
B) Story composite task: Use two story queries.
A) Consider the events involving both Lily Nguyen and water supply contamination on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Lily Nguyen and residential tower fire on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Vermont']"", '[]']",,[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Qwen3-32B-Judge,ok,ok,,,Spot the Differences,s,error,2,2,news_qwen3_4b_dp.answers.jsonl
