row_key,q_idx,combined_q_idx,question,correct_answer,answer,status,error,latency_sec
combined_q_idx:0,4,0,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.","{""only_in_A"": [""Lily Nguyen"", ""Mila Gonzalez""], ""only_in_B"": [""atmospheric scrubber failure"", ""cryo-pod integrity breach"", ""digital afterlife server shutdown""]}","Return only_in_A = []
Return only_in_B = ['atmospheric scrubber failure', 'antimatter cascade', 'matter synthesizer overload']",ok,,2.391
combined_q_idx:1,15,1,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","[""subspace antenna failure""]","[Chapter 26, Paragraph 175]
Her heart hammered, the steady rhythm of routine broken by the raw, electric chaos on the screen. (iii) , the log read in the upper right corner, its date glowing in the soft green of the interface.

[Chapter 46, Paragraph 315]
At first, Scarlett assumed it was a transient glitch, a common occurrence during solar flares",ok,,3.933
combined_q_idx:2,29,2,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",{'Full chapter 49'},"[Chapter 49, Paragraph 339]
(iii) The failure was abrupt, violent—a collapse of potential that left the lab shrouded in a cold silence. Zoe’s breath quickened as she moved toward the control console, the emergency lights casting long, dancing shadows across the walls. Outside the main viewport, the surface of Europa was still, but the absence of subspace communication felt like",ok,,4.226
combined_q_idx:3,28,3,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",set(),"There is no information about Lily Nguyen and a fusion core breach at Sedna Long Range Observatory on April 09, 2226.",ok,,1.886
combined_q_idx:4,30,4,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,set(),"February 27, 2226.",ok,,0.809
combined_q_idx:5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","{'cryo-pod integrity breach', 'digital afterlife server shutdown', 'atmospheric scrubber failure'}","A atmospheric scrubber failure, 
an antimatter cascade, 
a cryo-pod failure, 
a main power failure.",ok,,1.876
combined_q_idx:6,11,6,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",0,"[Chapter 49, Paragraph 336]",ok,,0.711
combined_q_idx:7,16,7,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",set(),[],ok,,0.899
combined_q_idx:8,29,8,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",{'Full chapter 14'},"There is no mention of Benjamin Green and a cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226, in the retrieved context.",ok,,2.513
combined_q_idx:9,27,9,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.","[""October 27, 2224""]","September 22, 2226",ok,,0.944
