source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,source_file,n_gold,gold_bin
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:10+00:00,rag,combined_q_idx:0,0,0,27,"Story recall-and-edit: For query ""Consider all events involving both Mila Gonzalez and bridge collapse at Amman Governorate. Provide a list of all dates when these events occurred, without describing the events."", return an empty answer.",story_edit::empty,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"The AI answer 'unsure' does not provide any specific dates, so it does not match any of the ground-truth items (which are empty).",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer 'unsure' does not provide any specific dates, so it does not match any of the ground-truth items (which are empty).""
}",Recall and Edit,t,ok,news_qwen25_14b_rag.answers.jsonl,0,0
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:12+00:00,rag,combined_q_idx:1,1,1,32,What was Benjamin Green doing the last time they were observed in the story's timeline?,Event contents,latest,['volcanic eruption'],"Benjamin Green was observing the dramatic atmospheric changes and the unfolding natural disaster, feeling the shared terror with others witnessing the event.",[],[0.0],0,0.0,0.0,0.0,0,"The AI answer does not mention any event or item from the ground-truth list ('volcanic eruption'), so there is no relevant content to identify and the score is 0.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer does not mention any event or item from the ground-truth list ('volcanic eruption'), so there is no relevant content to identify and the score is 0.""
}",Stateful Processing,t|s|c,ok,news_qwen25_14b_rag.answers.jsonl,1,1
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:14+00:00,rag,combined_q_idx:2,2,2,27,"Story composite task: Use two story queries.
A) Consider all events involving both Sofia Ramos and mass shooting at Andalusia. Provide a list of all dates when these events occurred, without describing the events.
B) Consider all events involving both Julian Ross and flash flood emergency at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.",story_composite::difference_then_sort,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"The AI answer provided no dates for the queries, so no items were identified that could be compared to the ground-truth list, resulting in empty scores.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer provided no dates for the queries, so no items were identified that could be compared to the ground-truth list, resulting in empty scores.""
}",Composite,t,ok,news_qwen25_14b_rag.answers.jsonl,0,0
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:16+00:00,rag,combined_q_idx:3,3,3,11,"Story recall-and-edit: For query ""Reflect on events related to airport shutdown. Provide a list of all protagonists involved in these events, without describing the events."", return an empty answer.",story_edit::empty,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"The AI answer provided ('unsure') does not list any protagonists related to airport shutdown events, so there are no items to match or identify.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer provided ('unsure') does not list any protagonists related to airport shutdown events, so there are no items to match or identify.""
}",Recall and Edit,t|s|ent,ok,news_qwen25_14b_rag.answers.jsonl,0,0
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:18+00:00,rag,combined_q_idx:4,4,4,22,"Consider all events involving both Samuel Parker and bridge collapse. Provide a list of all dates when these events occurred, without describing the events.",Times,all,"['October 12, 2024', 'September 27, 2025']",unsure,[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,The AI answer did not provide any dates related to Samuel Parker and bridge collapse events.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0, 0.0],
  ""explanation"": ""The AI answer did not provide any dates related to Samuel Parker and bridge collapse events.""
}",Search,t|s,ok,news_qwen25_14b_rag.answers.jsonl,2,2
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:21+00:00,rag,combined_q_idx:5,5,5,27,"Consider all events involving both Carter Stewart and bridge collapse at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.",Times,all,"['January 03, 2026']","January 03, 2026
February 27, 2026",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""January 03, 2026""],
  ""matching_scores"": [1.0],
  ""explanation"": ""Only the ground-truth item 'January 03, 2026' is present in the AI answer, so it receives a perfect match score of 1.0. The second date in the AI answer ('February 27",Search,t,ok,news_qwen25_14b_rag.answers.jsonl,1,1
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:23+00:00,rag,combined_q_idx:6,6,6,18,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events involving Levi Rodriguez at Nairobi County. Provide a list of all dates when these events occurred, without describing the events."". Remove ""July 25, 2024"" from the answer. Return only the remaining items.",story_edit::remove_one,all,"['May 28, 2025']","May 28, 2025","['May 28, 2025']",[1.0],1,1.0,1.0,1.0,1,The AI answer correctly identifies the single ground-truth item with a perfect match score.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""May 28, 2025""],
  ""matching_scores"": [1.0],
  ""explanation"": ""The AI answer correctly identifies the single ground-truth item with a perfect match score.""
}",Recall and Edit,t|c,ok,news_qwen25_14b_rag.answers.jsonl,1,1
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:24+00:00,rag,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to fishing fleet loss that occurred on June 14, 2025. List all the locations where these events took place, without describing the events themselves.
B) Recall the events related to residential tower fire that occurred on February 27, 2026. List all the locations where these events took place, without describing the events themselves.
Return the intersection.",story_compare::intersection,all,[],unsure,[],[],0,1.0,1.0,1.0,1,No ground-truth events to compare with the AI's answer.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No ground-truth events to compare with the AI's answer.""
}",Match and Compare,s|ent,ok,news_qwen25_14b_rag.answers.jsonl,0,0
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:26+00:00,rag,combined_q_idx:8,8,8,25,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Think about the events related to water supply contamination that occurred at Minas Gerais on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.",story_state::latest_chapter,latest,['0'],unsure,['None'],[0.0],0,0.0,0.0,0.0,0,The AI did not identify any protagonists from the events described in the query.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""None""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI did not identify any protagonists from the events described in the query.""
}",Stateful Processing,ent,ok,news_qwen25_14b_rag.answers.jsonl,1,1
/workspace/news_qwen25_14b_rag.answers.jsonl,2026-04-08T18:54:28+00:00,rag,combined_q_idx:9,9,9,26,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the events involving both Levi Rodriguez and factory explosion on December 26, 2026. List all the locations where these events took place, without describing the events themselves.
B) Story composite task: Use two story queries.
A) Consider the events involving both Lily Nguyen and water supply contamination on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Lily Nguyen and residential tower fire on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Vermont']"", '[]']",unsure,['Vermont'],"[0.0, 0.0]",0,0.0,0.0,0.0,0,"The AI answer 'unsure' does not list any locations, so it does not contain any item present in the ground-truth (which is 'Vermont').",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""Vermont""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer 'unsure' does not list any locations, so it does not contain any item present in the ground-truth (which is 'Vermont').""
}",Spot the Differences,s,ok,news_qwen25_14b_rag.answers.jsonl,2,2
