q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx,original_minerva_category
18,1,19,"Story composite task: Use two story queries.
A) Consider all events involving Carter Stewart at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.
B) Story recall-and-edit: Start from the answer to this story query: ""Reflect on Julian Ross's experiences at High Line. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred."". Remove ""Archery Tournament"" from that answer. Return only the remaining items.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, s, ent, *)","(*, {American Museum of Natural History}, {Carter Stewart}, *)",story_composite::difference_then_sort,all,"[""September 13, 2025""]",,"{""remaining_sorted"": [""September 13, 2025""]}",1,1,set(),,Composite,Story synthetic composite,t|c,s|ent,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,0,Search
33,0,3225,"Provide a chronological list of all dates when Ella Ross was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Ella Ross}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True,original,False,,,1,
25,1,2264,"Story spot-the-differences: Compare answers of these two story queries.
A) Think about the events related to Fashion Show that occurred at Brooklyn Museum on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.
B) Think about the events related to Astronomy Night that occurred at High Line on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.
Return only_in_A and only_in_B.","(t, s, *, c)","({April 09, 2026}, {Brooklyn Museum}, *, {Fashion Show})",story_diff::set_difference,all,"{""only_in_A"": [""Lily Nguyen""], ""only_in_B"": [""Scarlett Thomas""]}",,"{""only_in_A"": [""Lily Nguyen""], ""only_in_B"": [""Scarlett Thomas""]}",1,1,set(),,Spot the Differences,Story synthetic spot_the_differences,ent,t|s|c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,2,Search
15,0,4261,"Reflect on what Chloe Castillo experienced on August 17, 2025. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({August 17, 2025}, *, {Chloe Castillo}, *)",Event contents,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,3,
22,0,2668,"Story composite task: Use two story queries.
A) Consider all events involving both Bella Alvarez and Environmental Summit. Provide a list of all dates when these events occurred, without describing the events.
B) Consider all events involving both Bella Brown and 3D Printing Workshop. Provide a list of all dates when these events occurred, without describing the events.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, *, ent, c)","(*, *, {Bella Alvarez}, {Environmental Summit})",story_composite::difference_then_sort,all,[],,"{""remaining_sorted"": []}",0,0,{'content'},False,Composite,Story synthetic composite,t|s,ent|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,4,Search
26,1,578,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider the events involving both Jackson Ramos and Flash Mob on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Reflect on events related to Archery Tournament. Provide a list of all protagonists involved in these events, without describing the events.
Return two lists: only_in_A and only_in_B.","(t, *, ent, c)","({April 09, 2026}, *, {Jackson Ramos}, {Flash Mob})",story_diff::set_difference,all,"{""only_in_A"": [""Ellis Island""], ""only_in_B"": [""Julian Ross"", ""Mila Gonzalez""]}",,"{""only_in_A"": [""Ellis Island""], ""only_in_B"": [""Julian Ross"", ""Mila Gonzalez""]}",1,1,set(),,Spot the Differences,Story-grounded set difference,s,t|ent|c,True,story_synthetic,True,spot_the_differences,Compared q_idx 26 vs 11,5,
31,0,4834,What is the most recent location where Christian Patel was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Christian Patel}, *)",Spaces,latest,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,6,
27,1,232,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Consider all events involving both Julian Ross and Film Festival at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Julian Ross}, {Film Festival})",story_state::latest_chapter,latest,29,,{'latest_chapter': 29},1,1,set(),,Stateful Processing,Story synthetic stateful_processing,t,s|ent|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,7,Search
7,1,366,"Story composite task: Use two story queries.
A) Consider all events that Isaiah Bennett has been involved in. List all the locations where these events took place, without mentioning the events themselves.
B) Consider all events that Logan Diaz has been involved in. List all the locations where these events took place, without mentioning the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, *, ent, *)","(*, *, {Isaiah Bennett}, *)",story_composite::difference_then_sort,all,"[""Bethpage State Park""]",,"{""remaining_sorted"": [""Bethpage State Park""]}",1,1,set(),,Composite,Story synthetic composite,t|s|c,ent,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,8,Search
13,1,1187,"Story recall-and-edit: Start from the answer to this story query: ""Recall the key events that occurred at High Line on April 09, 2026. Describe what happened, focusing on the actions or occurrences rather than who was involved."". Remove ""Astronomy Night"" from the answer. Return only the remaining items.","(t, s, *, *)","({April 09, 2026}, {High Line}, *, *)",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,ent|c,t|s,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,9,Search
