source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,n_gold,gold_bin,source_file
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:52:44+00:00,dp,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]","only_in_A: Sedna Long Range Observatory is not mentioned in the provided text.

only_in_B: 
- Digital afterlife server shutdown occurred.
- Technicians were observing the servers and monitoring the systems.
- The air felt thicker and charged.
- Monitors displayed static and glitching shards.
- Servers' steady rhythm faltered and became stuttering.
- The date noted was September 2",[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Spot the Differences,t|ent|c,ok,2,2,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:52:59+00:00,dp,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],unsure,[],[0.0],0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Compute on Sets and Lists,s|c,ok,1,1,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:53:15+00:00,dp,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],"Unsure, the provided text does not mention a subspace antenna failure or any events occurring on December 26, 2226, involving Zoe Brown at the Europa Subsurface Laboratory. The closest reference is to Zoe Brown dealing with a vacuum seal deterioration at a Dyson Swarm Control on May 07, 2224. There is no information regarding an event at Europa",[],[0.0],0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Composite,,ok,1,1,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:53:31+00:00,dp,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],unsure,[],[],0,1.0,1.0,1.0,1,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Match and Compare,,ok,0,0,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:53:47+00:00,dp,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],unsure,[],[],0,1.0,1.0,1.0,1,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Stateful Processing,t|s|c,ok,0,0,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:54:03+00:00,dp,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['cryo-pod integrity breach', 'atmospheric scrubber failure', 'digital afterlife server shutdown']","At Hydra Cloud Facility, there was a digital afterlife server shutdown. The air felt thicker and charged, and the usual steady rhythm of the servers faltered, replaced by a stuttering noise. The main monitor's interface dissolved into static, and the afterlife simulation grid fractured into glitching shards, with data packets bleeding from the server racks in slow, red streams.",[],"[0.0, 0.0, 0.0]",0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Search,t|ent|c,ok,3,3-5,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:54:19+00:00,dp,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],unsure,[],[0.0],0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Stateful Processing,t|s|ent,ok,1,1,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:54:34+00:00,dp,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],unsure,[],[],0,1.0,1.0,1.0,1,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Match and Compare,s|ent,ok,0,0,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:54:50+00:00,dp,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],"There seems to be a discrepancy in your request. The provided text does not mention Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226. Instead, it describes events related to a cryo-pod integrity breach at the Nereid Weather Station involving Julian Ross and a digital afterlife server shutdown at the Hydra Cloud Facility involving",[],[0.0],0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Composite,,ok,1,1,scifi_qwen25_14b_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\Qwen2.5_14B_instruct\scifi_qwen25_14b_dp.answers.jsonl,2026-04-08T03:55:06+00:00,dp,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']",unsure,[],[0.0],0,0.0,0.0,0.0,0,APIConnectionError: Connection error.,Olmo-3-7B-Instruct,error,error,APIConnectionError: Connection error.,,Compute on Sets and Lists,t,ok,1,1,scifi_qwen25_14b_dp.answers.jsonl
