q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx
27,0,1566,"Consider all events involving both Mila Gonzalez and bridge collapse at Amman Governorate. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Amman Governorate}, {Mila Gonzalez}, {bridge collapse})",Times,all,set(),set(),{},0,0,"{'location', 'date'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,0
32,2,1426,What was Benjamin Green doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Benjamin Green}, *)",Event contents,latest,['volcanic eruption'],[14],{14: 'volcanic eruption'},1,2,set(),,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,1
27,0,1582,"Consider all events involving both Sofia Ramos and mass shooting at Andalusia. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Andalusia}, {Sofia Ramos}, {mass shooting})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,2
11,0,2292,"Reflect on events related to airport shutdown. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {airport shutdown})",Entities,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,3
22,2,152,"Consider all events involving both Samuel Parker and bridge collapse. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Samuel Parker}, {bridge collapse})",Times,all,"{'October 12, 2024', 'September 27, 2025'}","{25, 33}","{25: 'September 27, 2025', 33: 'October 12, 2024'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,4
27,1,68,"Consider all events involving both Carter Stewart and bridge collapse at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Buenos Aires Province}, {Carter Stewart}, {bridge collapse})",Times,all,"{'January 03, 2026'}",{30},"{30: 'January 03, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,5
18,2,27,"Consider all events involving Levi Rodriguez at Nairobi County. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Nairobi County}, {Levi Rodriguez}, *)",Times,all,"{'May 28, 2025', 'July 25, 2024'}","{53, 55}","{53: 'July 25, 2024', 55: 'May 28, 2025'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,6
16,2,622,"Recall the events related to fishing fleet loss that occurred on June 14, 2025. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({June 14, 2025}, *, *, {fishing fleet loss})",Spaces,all,"{'Minas Gerais', 'Sichuan Province'}","{26, 60}","{26: 'Minas Gerais', 60: 'Sichuan Province'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,7
25,0,2589,"Think about the events related to water supply contamination that occurred at Minas Gerais on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {Minas Gerais}, *, {water supply contamination})",Entities,all,set(),set(),{},0,0,{'content'},False,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,8
26,1,326,"Consider the events involving both Levi Rodriguez and factory explosion on December 26, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({December 26, 2026}, *, {Levi Rodriguez}, {factory explosion})",Spaces,all,{'Vermont'},{15},{15: 'Vermont'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,9
