q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
10,0,2553,"Consider all events involving 3D Printing Workshop. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {3D Printing Workshop})",Spaces,all,set(),set(),{},0,0,"{'content', 'location'}",False
10,0,2554,"Consider all events involving Antique Auction. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Antique Auction})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",False
10,0,2559,"Consider all events involving Board Game Night. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Board Game Night})",Spaces,all,set(),set(),{},0,0,{'content'},False
10,0,2563,"Consider all events involving Bubble Tea Festival. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Bubble Tea Festival})",Spaces,all,set(),set(),{},0,0,"{'content', 'date'}",False
10,0,2564,"Consider all events involving Car Show. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Car Show})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
9,0,3370,"Recall all events related to 3D Printing Workshop. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {3D Printing Workshop})",Times,all,set(),set(),{},0,0,"{'content', 'location'}",False
9,0,3373,"Recall all events related to Antique Auction. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Antique Auction})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",False
9,0,3382,"Recall all events related to Board Game Night. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Board Game Night})",Times,all,set(),set(),{},0,0,{'content'},False
9,0,3386,"Recall all events related to Bubble Tea Festival. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Bubble Tea Festival})",Times,all,set(),set(),{},0,0,"{'content', 'date'}",False
9,0,3393,"Recall all events related to Car Show. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {Car Show})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
11,0,4126,"Reflect on events related to 3D Printing Workshop. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {3D Printing Workshop})",Entities,all,set(),set(),{},0,0,"{'content', 'location'}",False
11,0,4127,"Reflect on events related to Antique Auction. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Antique Auction})",Entities,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",False
11,0,4128,"Reflect on events related to Board Game Night. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Board Game Night})",Entities,all,set(),set(),{},0,0,{'content'},False
11,0,4129,"Reflect on events related to Bubble Tea Festival. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Bubble Tea Festival})",Entities,all,set(),set(),{},0,0,"{'content', 'date'}",False
11,0,4130,"Reflect on events related to Car Show. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Car Show})",Entities,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False
11,2,1713,"Reflect on events related to Archery Tournament. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {Archery Tournament})",Entities,all,"{'Julian Ross', 'Mila Gonzalez'}","{22, 95}","{22: 'Mila Gonzalez', 95: 'Julian Ross'}",2,2,set(),
