chapter,date,location,entity,content,post_entities,n_date,n_location,n_entity,n_content,raw_generated_paragraph_idx,nb_paragraphs,style,idx_t,idx_s,idx_e,idx_c
1,"September 13, 2025",Bethpage Black Course,Ezra Edwards,Parkour Workshop,"{'Noa Middleton', 'Mara Ledbetter'}",6,6,4,6,0,7,thriller,7,2,2,2
2,"September 22, 2026",American Museum of Natural History,Chloe Castillo,Fashion Show,set(),5,9,3,13,1,7,fantasy,7,5,5,3
3,"September 22, 2026",Port Jefferson,Henry Reed,Photography Exhibition,{'Sienna Hamrick'},5,6,12,5,2,1,detective,1,1,1,1
4,"May 07, 2024",Hither Hills State Park,Zoe Brown,Karaoke Night,{'Reid Blunt'},1,1,11,4,3,5,mystery,1,3,3,4
5,"March 23, 2024",High Line,Logan Diaz,Business Networking Event,set(),8,13,3,2,4,9,romance,2,2,8,8
6,"May 31, 2024",Woolworth Building,Julian Ross,Tech Hackathon,"{'Miles Pritchett', 'Ronan Guevara'}",2,6,12,19,5,8,detective,6,8,2,3
7,"February 27, 2026",Washington Square Park,Benjamin Green,Ice Sculpture Exhibition,{'Amira Hayes'},8,9,4,3,6,7,tragedy,7,7,5,1
8,"September 27, 2025",Snug Harbor Cultural Center,Owen Thomas,Parkour Workshop,"{'Alma Aultman', 'Uri Wemple', 'Meredith Gardner', 'Alondra Wilkinson'}",3,6,1,6,7,5,comedy,2,4,1,1
9,"February 27, 2026",Statue of Liberty,Mila Gonzalez,Theater Performance,"{'Hezekiah Bean', 'Sienna Lyles'}",8,5,8,11,8,8,fantasy,5,8,8,1
10,"October 13, 2024",Queensboro Bridge,Henry Reed,Film Festival,{'Dakari Liebert'},3,4,12,6,9,6,mystery,3,6,3,4
11,"May 11, 2026",Washington Square Park,Henry Reed,Ice Sculpture Exhibition,set(),10,9,12,3,10,10,romance,10,7,9,9
12,"May 11, 2026",High Line,Chloe Castillo,Parkour Workshop,"{'Creed Berlin', 'Rocco Cormier', 'Lilah Hamilton'}",10,13,3,6,11,4,horror,2,2,2,3
13,"October 13, 2024",Woolworth Building,Scarlett Thomas,Craft Beer Festival,"{'Axl Mims', 'Diem Nix'}",3,6,8,1,12,9,comedy,1,2,4,1
14,"April 09, 2026",Snug Harbor Cultural Center,Benjamin Green,Tech Hackathon,"{'Oakley Goetz', 'Rey Pierre', 'Zander Davenport', 'Eli Groth'}",8,6,4,19,13,3,romance,3,2,3,1
15,"December 26, 2026",American Museum of Natural History,Levi Rodriguez,Astronomy Night,"{'Jonah Kramer', 'Luka Shaffer', 'Karsyn Schaeffer'}",4,9,9,6,14,5,detective,2,1,4,5
16,"March 23, 2024",Port Jefferson,Zoe Brown,Tech Hackathon,{'Meredith Lester'},8,6,11,19,15,3,romance,2,2,3,3
17,"June 14, 2025",High Line,Zoe Brown,Tech Hackathon,"{'Kali Newcomb', 'Presley Lunt'}",8,13,11,19,16,2,horror,2,2,2,2
18,"January 03, 2026",St. Patrick's Cathedral,Mila Gonzalez,Theater Performance,set(),4,2,8,11,17,10,thriller,9,10,7,5
19,"February 27, 2026",High Line,Jackson Ramos,Theater Performance,set(),8,13,3,11,18,5,tragedy,3,1,2,2
20,"September 03, 2026",Brooklyn Bridge,Hazel Lewis,Historical Reenactment,set(),5,2,2,3,19,9,horror,9,8,4,2
21,"February 27, 2026",Williamsburg Bridge,Julian Ross,Tech Hackathon,"{'Cora Xiong', 'Ronan Francois'}",8,4,12,19,20,10,tragedy,8,5,3,5
22,"March 23, 2024",Washington Square Park,Mila Gonzalez,Archery Tournament,"{'Nyla Bower', 'Delphi Parent'}",8,9,8,2,21,3,comedy,3,3,3,1
23,"April 09, 2026",Brooklyn Museum,Lily Nguyen,Fashion Show,"{'Genevieve Burgin', 'Quill Womack'}",8,3,1,13,22,5,tragedy,3,2,4,1
24,"December 03, 2026",New York Botanical Garden,Ezra Edwards,Educational Workshop,"{'Kylee Beard', 'Remy Waterman'}",1,1,4,7,23,2,mystery,1,1,1,2
25,"September 27, 2025",One World Trade Center,Samuel Parker,Theater Performance,"{'Josephine Gaither', 'Nylah Zavala'}",3,9,6,11,24,2,tragedy,1,2,1,2
