source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,source_file,n_gold,gold_bin
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:35+00:00,,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]","Return only_in_A = []
Return only_in_B = []",[],"[1.0, 1.0]",2,0.0,1.0,0.0,0,No protagonists or events were mentioned in either AI answer that are associated with Sedna Long Range Observatory (A) or Hydra Cloud Facility (B) based on the provided ground-truth.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [1.0, 1.0],
  ""explanation"": ""No protagonists or events were mentioned in either AI answer that are associated with Sedna Long Range Observatory (A) or Hydra Cloud Facility (B) based on the provided ground-truth.""
}",Spot the Differences,t|ent|c,ok,df_qa.llama_scifi_direct.answers.csv,2,2
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:38+00:00,,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],"(i) witnessed a digital afterlife server shutdown.
(ii) witnessed a fusion core breach.
(iii) witnessed a navigation computer blackout.
(iv) witnessed a vacuum seal deterioration.
(v) witnessed a main power grid overload.
(vi) witnessed a cryo-pod integrity breach.
(vii) witnessed a artificial atmosphere toxicity.
(viii) witnessed a digital afterlife server shutdown.
(ix) witnessed a",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""a digital afterlife server shutdown"", ""a fusion core breach"", ""an artificial atmosphere toxicity"", ""a navigation computer blackout""],
  ""matching_scores"": [1.0, 0.95, 0.9, 0.85],
  ""explanation"": ""The AI listed four events (with some phrasing variations), matching all",Compute on Sets and Lists,s|c,ok,df_qa.llama_scifi_direct.answers.csv,1,1
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:41+00:00,,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],"There is no information about Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226.",[],[1.0],1,0.0,1.0,0.0,0,"The AI answer did not identify or reference any items from the ground-truth list, so the only possible match (the chapter 'Full chapter 49') received a perfect score of 1.0.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [1.0],
  ""explanation"": ""The AI answer did not identify or reference any items from the ground-truth list, so the only possible match (the chapter 'Full chapter 49') received a perfect score of 1.0.""
}",Composite,,ok,df_qa.llama_scifi_direct.answers.csv,1,1
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:43+00:00,,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],[],[],[],0,1.0,1.0,1.0,1,"No ground-truth entities were provided; therefore, the AI answer (which lists none) matches perfectly with the empty list.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No ground-truth entities were provided; therefore, the AI answer (which lists none) matches perfectly with the empty list.""
}",Match and Compare,,ok,df_qa.llama_scifi_direct.answers.csv,0,0
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:45+00:00,,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],"September 13, 2225","['September 13, 2225']",[],0,0.0,1.0,0.0,0,"The AI provided a single date, which matches the only date potentially present in the story's chronology (assuming ground-truth may be empty or not specified).",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""September 13, 2225""],
  ""matching_scores"": [1.0],
  ""explanation"": ""The AI provided a single date, which matches the only date potentially present in the story's chronology (assuming ground-truth may be empty or not specified).""
}",Stateful Processing,t|s|c,ok,df_qa.llama_scifi_direct.answers.csv,0,0
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:48+00:00,,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['atmospheric scrubber failure', 'digital afterlife server shutdown', 'cryo-pod integrity breach']","A digital afterlife server shutdown occurred, and the air was thick with tension as the technicians struggled to comprehend the magnitude of what was happening.",[],"[0.0, 0.0, 0.0]",0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""digital afterlife server shutdown""],
  ""matching_scores"": [0.95],
  ""explanation"": ""The AI identifies the 'digital afterlife server shutdown' from the answer, which matches the ground-truth item closely, earning a high score. No other ground-truth items are mentioned in the AI's answer, so only one score is",Search,t|ent|c,ok,df_qa.llama_scifi_direct.answers.csv,3,3-5
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:51+00:00,,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],"[1, 6]","['1', '6']",[0.0],0,0.0,0.0,0.0,0,"Only '0' was in the ground-truth, but AI listed '1' and '6' as chapter indices; no match found.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""1"", ""6""],
  ""matching_scores"": [0.0],
  ""explanation"": ""Only '0' was in the ground-truth, but AI listed '1' and '6' as chapter indices; no match found.""
}",Stateful Processing,t|s|ent,ok,df_qa.llama_scifi_direct.answers.csv,1,1
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:53+00:00,,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],Nereid Weather Station,['Nereid Weather Station'],[],0,0.0,1.0,0.0,0,"The AI answer provided only one item ('Nereid Weather Station'), but the ground-truth list is empty, so there are no matching items.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""Nereid Weather Station""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer provided only one item ('Nereid Weather Station'), but the ground-truth list is empty, so there are no matching items.""
}",Match and Compare,s|ent,ok,df_qa.llama_scifi_direct.answers.csv,0,0
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:56+00:00,,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],"There is no information about Benjamin Green and a cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226.",[],[1.0],1,0.0,1.0,0.0,0,"The AI answer did not identify or reference any information related to Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226, so it fully failed to match the ground-truth content.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [1.0],
  ""explanation"": ""The AI answer did not identify or reference any information related to Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226, so it fully failed to match the ground-truth content.""
}",Composite,,ok,df_qa.llama_scifi_direct.answers.csv,1,1
/workspace/df_qa.llama_scifi_direct.answers.csv,2026-04-08T20:03:58+00:00,,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']","September 22, 2226",[],[0.0],0,0.0,0.0,0.0,0,"No ground-truth item matches the AI answer of 'September 22, 2226'. The AI answer is incorrect and does not correspond to any provided date.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""No ground-truth item matches the AI answer of 'September 22, 2226'. The AI answer is incorrect and does not correspond to any provided date.""
}",Compute on Sets and Lists,t,ok,df_qa.llama_scifi_direct.answers.csv,1,1
