source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,n_gold,gold_bin,source_file
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]",,[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Spot the Differences,t|ent|c,error,2,2,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Compute on Sets and Lists,s|c,error,1,1,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Composite,,error,1,1,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Olmo-3-7B-Instruct,ok,ok,,,Match and Compare,,error,0,0,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Olmo-3-7B-Instruct,ok,ok,,,Stateful Processing,t|s|c,error,0,0,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['atmospheric scrubber failure', 'digital afterlife server shutdown', 'cryo-pod integrity breach']",,[],"[0.0, 0.0, 0.0]",0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Search,t|ent|c,error,3,3-5,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Stateful Processing,t|s|ent,error,1,1,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Olmo-3-7B-Instruct,ok,ok,,,Match and Compare,s|ent,error,0,0,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Composite,,error,1,1,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']",,[],[0.0],0,0.0,0.0,0.0,0,Empty answer with non-empty ground truth; deterministic zero match.,Olmo-3-7B-Instruct,ok,ok,,,Compute on Sets and Lists,t,error,1,1,scifi_phi3-mini-4k_dp.answers.jsonl
C:\Users\KIIT\Documents\Research Work\Episodic_Memory_Part_2\refactoring_files\Models_answers\phi3_mini_4K_instruct\scifi_phi3-mini-4k_dp.answers.jsonl,2026-04-08T16:53:52+00:00,dp,combined_q_idx:10,10,10,25,"Story recall-and-edit: Start from the answer to this story query: ""Think about the events related to subspace antenna failure that occurred at Europa Subsurface Laboratory on December 26, 2226. List all protagonists involved in these events, without describing the events themselves."". Remove ""Zoe Brown"" from the answer. Return only the remaining items.",story_edit::remove_one,all,[],,[],[],0,1.0,1.0,1.0,1,Empty answer with empty ground truth; deterministic exact match.,Olmo-3-7B-Instruct,ok,ok,,,Recall and Edit,ent,error,0,0,scifi_phi3-mini-4k_dp.answers.jsonl
