q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx,original_minerva_category
27,0,1566,"Story recall-and-edit: For query ""Consider all events involving both Mila Gonzalez and bridge collapse at Amman Governorate. Provide a list of all dates when these events occurred, without describing the events."", return an empty answer.","(*, s, ent, c)","(*, {Amman Governorate}, {Mila Gonzalez}, {bridge collapse})",story_edit::empty,all,set(),,{'remaining_items': []},0,0,"{'location', 'date'}",False,Recall and Edit,Story synthetic recall_and_edit,t,s|ent|c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,0,Search
32,2,1426,What was Benjamin Green doing the last time they were observed in the story's timeline?,"(*, *, ent, *)","(*, *, {Benjamin Green}, *)",Event contents,latest,['volcanic eruption'],[14],{14: 'volcanic eruption'},1,2,set(),,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,1,
27,0,1582,"Story composite task: Use two story queries.
A) Consider all events involving both Sofia Ramos and mass shooting at Andalusia. Provide a list of all dates when these events occurred, without describing the events.
B) Consider all events involving both Julian Ross and flash flood emergency at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, s, ent, c)","(*, {Andalusia}, {Sofia Ramos}, {mass shooting})",story_composite::difference_then_sort,all,[],,"{""remaining_sorted"": []}",0,0,"{'content', 'date', 'location', 'entity'}",False,Composite,Story synthetic composite,t,s|ent|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,2,Search
11,0,2292,"Story recall-and-edit: For query ""Reflect on events related to airport shutdown. Provide a list of all protagonists involved in these events, without describing the events."", return an empty answer.","(*, *, *, c)","(*, *, *, {airport shutdown})",story_edit::empty,all,set(),,{'remaining_items': []},0,0,"{'content', 'date', 'location', 'entity'}",False,Recall and Edit,Story synthetic recall_and_edit,t|s|ent,c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,3,Search
22,2,152,"Consider all events involving both Samuel Parker and bridge collapse. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Samuel Parker}, {bridge collapse})",Times,all,"{'October 12, 2024', 'September 27, 2025'}","{25, 33}","{25: 'September 27, 2025', 33: 'October 12, 2024'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,4,
27,1,68,"Consider all events involving both Carter Stewart and bridge collapse at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Buenos Aires Province}, {Carter Stewart}, {bridge collapse})",Times,all,"{'January 03, 2026'}",{30},"{30: 'January 03, 2026'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,5,
18,2,27,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events involving Levi Rodriguez at Nairobi County. Provide a list of all dates when these events occurred, without describing the events."". Remove ""July 25, 2024"" from the answer. Return only the remaining items.","(*, s, ent, *)","(*, {Nairobi County}, {Levi Rodriguez}, *)",story_edit::remove_one,all,"{'May 28, 2025'}",,"{'remaining_items': ['May 28, 2025']}",2,2,set(),,Recall and Edit,Story synthetic recall_and_edit,t|c,s|ent,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,6,Search
16,2,622,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to fishing fleet loss that occurred on June 14, 2025. List all the locations where these events took place, without describing the events themselves.
B) Recall the events related to residential tower fire that occurred on February 27, 2026. List all the locations where these events took place, without describing the events themselves.
Return the intersection.","(t, *, *, c)","({June 14, 2025}, *, *, {fishing fleet loss})",story_compare::intersection,all,set(),,{'shared_items': []},2,2,set(),,Match and Compare,Story synthetic match_and_compare,s|ent,t|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,7,Search
25,0,2589,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Think about the events related to water supply contamination that occurred at Minas Gerais on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {Minas Gerais}, *, {water supply contamination})",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,{'content'},False,Stateful Processing,Story synthetic stateful_processing,ent,t|s|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,8,Search
26,1,326,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the events involving both Levi Rodriguez and factory explosion on December 26, 2026. List all the locations where these events took place, without describing the events themselves.
B) Story composite task: Use two story queries.
A) Consider the events involving both Lily Nguyen and water supply contamination on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Lily Nguyen and residential tower fire on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.
Return only_in_A and only_in_B.","(t, *, ent, c)","({December 26, 2026}, *, {Levi Rodriguez}, {factory explosion})",story_diff::set_difference,all,"{""only_in_A"": [""Vermont""], ""only_in_B"": []}",,"{""only_in_A"": [""Vermont""], ""only_in_B"": []}",1,1,set(),,Spot the Differences,Story synthetic spot_the_differences,s,t|ent|c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,9,Search
17,2,1160,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Think about the events involving bridge collapse on February 27, 2026. Provide a list of all protagonists involved in these events, without describing the events.","(t, *, *, c)","({February 27, 2026}, *, *, {bridge collapse})",story_compute::sort_items,chronological,"[""Jackson Ramos"", ""Mila Gonzalez""]",,"{""sorted_items"": [""Jackson Ramos"", ""Mila Gonzalez""]}",2,2,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,s|ent,t|c,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,10,Search
25,1,1270,"Story composite task: Use two story queries.
A) Think about the events related to factory explosion that occurred at Greater Mumbai on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.
B) Story spot-the-differences: Compare answers of these two story queries.
A) Think about the events related to flash flood emergency that occurred at Ontario on December 03, 2026. List all protagonists involved in these events, without describing the events themselves.
B) Think about the events related to factory explosion that occurred at Greater Mumbai on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.
Return only_in_A and only_in_B.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, s, *, c)","({April 09, 2026}, {Greater Mumbai}, *, {factory explosion})",story_composite::difference_then_sort,all,"[""Scarlett Thomas""]",,"{""remaining_sorted"": [""Scarlett Thomas""]}",1,1,set(),,Composite,Story synthetic composite,ent,t|s|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,11,Search
11,2,979,"Story spot-the-differences: Compare answers of these two story queries.
A) Reflect on events related to nuclear plant meltdown. Provide a list of all protagonists involved in these events, without describing the events.
B) Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Reflect on events related to air quality emergency. Provide a list of all protagonists involved in these events, without describing the events.
B) Story spot-the-differences: Compare answers of these two story queries.
A) Recall all events related to air quality emergency. Provide a list of all dates when these events occurred, without describing the events.
B) Reflect on events related to magnitude 9.0 earthquake. Provide a list of all protagonists involved in these events, without describing the events.
Return only_in_A and only_in_B.
Return the intersection.
Return only_in_A and only_in_B.","(*, *, *, c)","(*, *, *, {nuclear plant meltdown})",story_diff::set_difference,all,"{""only_in_A"": [""Henry Reed"", ""Zoe Brown""], ""only_in_B"": []}",,"{""only_in_A"": [""Henry Reed"", ""Zoe Brown""], ""only_in_B"": []}",2,2,set(),,Spot the Differences,Story synthetic spot_the_differences,t|s|ent,c,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,12,Search
15,1,1080,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Lily Nguyen experienced on April 09, 2026. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({April 09, 2026}, *, {Lily Nguyen}, *)",story_compute::sort_items,chronological,"[""residential tower fire""]",,"{""sorted_items"": [""residential tower fire""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,s|c,t|ent,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,13,Search
4,"{3,4,5}",362,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider the location Dodoma Region. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Consider the location Bagmati Province. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
Return the intersection.","(*, s, *, *)","(*, {Dodoma Region}, *, *)",story_compare::intersection,all,set(),,{'shared_items': []},4,4,set(),,Match and Compare,Story synthetic match_and_compare,t|ent|c,s,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,14,Search
23,2,1018,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Reflect on the experiences of Julian Ross related to volcanic eruption. List all the unique locations where these events took place, without mentioning the events themselves.
B) Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on the experiences of Brooklyn Ross related to factory explosion. List all the unique locations where these events took place, without mentioning the events themselves.
Return the intersection.","(*, *, ent, c)","(*, *, {Julian Ross}, {volcanic eruption})",story_compare::intersection,all,set(),,{'shared_items': []},2,2,set(),,Match and Compare,Story synthetic match_and_compare,t|s,ent|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,15,Search
13,1,674,"Story recall-and-edit: Start from the answer to this story query: ""Recall the key events that occurred at Greater Mumbai on April 09, 2026. Describe what happened, focusing on the actions or occurrences rather than who was involved."". Remove ""factory explosion"" from the answer. Return only the remaining items.","(t, s, *, *)","({April 09, 2026}, {Greater Mumbai}, *, *)",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,ent|c,t|s,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,16,Search
3,0,2424,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Think about all events that have occurred at Alberta. Provide a list of all dates when these events took place, without describing the events.
B) Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the various events that have taken place at North Dakota. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
B) Think about all events that have occurred at Alberta. Provide a list of all dates when these events took place, without describing the events.
Return the intersection.
Return the intersection.","(*, s, *, *)","(*, {Alberta}, *, *)",story_compare::intersection,all,set(),,{'shared_items': []},0,0,"{'content', 'date', 'location', 'entity'}",False,Match and Compare,Story synthetic match_and_compare,t|ent|c,s,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,17,Search
4,"{3,4,5}",367,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Consider the location Luzon Region. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.","(*, s, *, *)","(*, {Luzon Region}, *, *)",story_state::latest_chapter,latest,49,,{'latest_chapter': 49},4,4,set(),,Stateful Processing,Story synthetic stateful_processing,t|ent|c,s,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,18,Search
16,2,619,"Story recall-and-edit: Start from the answer to this story query: ""Recall the events related to factory explosion that occurred on December 26, 2026. List all the locations where these events took place, without describing the events themselves."". Remove ""Luzon Region"" from that answer. Return only the remaining items.","(t, *, *, c)","({December 26, 2026}, *, *, {factory explosion})",story_edit::remove_one,all,{'Vermont'},,{'remaining_items': ['Vermont']},2,2,set(),,Recall and Edit,Story-grounded remove-one edit,s|ent,t|c,True,story_synthetic,True,recall_and_edit,Removed item: Luzon Region,19,
28,1,847,"Recall what happened involving Scarlett Thomas and factory explosion at Greater Mumbai on April 09, 2026 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2026}, {Greater Mumbai}, {Scarlett Thomas}, {factory explosion})",Other entities,all,set(),{46},{46: []},0,1,set(),,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,20,
23,0,2313,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on the experiences of Brooklyn Ross related to factory explosion. List all the unique locations where these events took place, without mentioning the events themselves.","(*, *, ent, c)","(*, *, {Brooklyn Ross}, {factory explosion})",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,"{'content', 'date', 'entity'}",True,Stateful Processing,Story synthetic stateful_processing,t|s,ent|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,21,Search
1,1,216,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events that happened on December 03, 2026. Provide a list of all protagonists involved in any of these events, without describing the events themselves."". Remove ""Ezra Edwards"" from the answer. Return only the remaining items.","(t, *, *, *)","({December 03, 2026}, *, *, *)",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,s|ent|c,t,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,22,Search
27,1,103,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider all events involving both Julian Ross and flash flood emergency at Buenos Aires Province. Provide a list of all dates when these events occurred, without describing the events.
B) Consider all events involving both Samuel Parker and flash flood emergency at Auckland Region. Provide a list of all dates when these events occurred, without describing the events.
Return the intersection.","(*, s, ent, c)","(*, {Buenos Aires Province}, {Julian Ross}, {flash flood emergency})",story_compare::intersection,all,set(),,{'shared_items': []},1,1,set(),,Match and Compare,Story synthetic match_and_compare,t,s|ent|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,23,Search
18,0,1485,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving Samuel Parker at Auckland Region. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Auckland Region}, {Samuel Parker}, *)",story_compute::sort_items,chronological,[],,"{""sorted_items"": []}",0,0,"{'date', 'location'}",False,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,t|c,s|ent,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,24,Search
30,1,1394,What is the most recent date Logan Diaz was observed or mentioned in the story's chronology?,"(*, *, ent, *)","(*, *, {Logan Diaz}, *)",Times,latest,"['March 23, 2024']",[5],"{5: 'March 23, 2024'}",1,1,set(),,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,25,
26,0,1743,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider the events involving both Noah Williams and fishing fleet loss on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Chloe Castillo and wind farm destruction on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
Return the intersection.","(t, *, ent, c)","({April 09, 2026}, *, {Noah Williams}, {fishing fleet loss})",story_compare::intersection,all,set(),,{'shared_items': []},0,0,"{'content', 'date', 'entity'}",True,Match and Compare,Story synthetic match_and_compare,s,t|ent|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,26,Search
