id,chapter,question,answer,evidence
1,1,What is the name of the course where Ezra Edwards is competing?,Bethpage Black Course,Bethpage Black Course. Ezra Edwards. Demonstrated cat leaps.
2,2,What is the name of the museum where Chloe's designs are being unveiled?,American Museum of Natural History,American Museum of Natural History.
3,3,"Who explained post-processing techniques on September 22, 2026?",Henry Reed,Henry Reed. Explained post-processing techniques.
4,4,What was the name of the park where Zoe performed?,Hither Hills State Park,"The park itself, , felt secretive, the trees pressing close, as if the night was being held captive between earth and sky. Hither Hills State Park."
5,5,What is the name of the elevated promenade where Logan is standing?,The High Line,"Along the elevated promenade, steel and glass rose into the cool air like a skyline reborn—this was the , transformed tonight into a maze of polished tables and the murmur of ambition."
6,6,What was the date that hung in the air during the incident?,"May 31, 2024","The date hung in the air: . The clock faces in every corner seemed to sync to this unspoken fact, marking the."
7,7,What is the name of the park where Benjamin is conducting his ice preservation talks?,Washington Square Park,"In this moment of quiet before another. Washington Square Park. February 27, 2026."
8,8,What was the date of the workshop?,"September 27, 2025","Today’s date blinked at him from his phone, , scrawled in the digital corner with all the gravitas of a Monday morning."
9,9,What date was the performance?,"February 27, 2026","The voice—clear as crystal, yet vibrating with ancient sorrow—echoed through the space. February 27, 2026."
10,10,What day was the Midnight Premier and Poster Expo held?,"October 13, 2024","At precisely the stated beginning of the “Midnight Premier and Poster Expo” at 7:15 p.m., Henry stepped onto the bridge proper."
11,11,Who conducted ice-themed music performances in Washington Square Park?,Henry Reed,"She handed out pamphlets, her fingers cool from the ice blocks she handled. Henry Reed. Conducted ice-themed music performances."
12,12,What is the name of the place where Chloe is waiting?,The High Line,"High Line. May 11, 2026."
13,13,What is the name of the self-declared liquid archaeologist?,Axl Mims,"I, Axl Mims—a self-declared liquid archaeologist with a passion for hops and a knack for organizing slightly chaotic gatherings—stood at the entrance,"
14,14,What was Benjamin's goal at the Snug Harbor Cultural Center?,To form a team and build something that would catch the eye of the judges,"He had come prepared, not just with algorithms and frameworks, but with a quiet resolve to form a team, to build something that would catch the eye of the judges and maybe, just maybe, the spark of another kind of attention."
15,15,What is the name of the host of the evening's astronomy trivia contests?,Levi Rodriguez,"Finally, Levi Rodriguez, host of the evening’s astronomy trivia contests, raised a gloved hand."
16,16,What date was the Hackathon held on?,"March 23, 2024","Port Jefferson. March 23, 2024."
17,17,What was the name of the project that Zoe was presenting?,neural interface for real-time translation,her project—a neural interface for real-time translation—hovering between finished and broken.
18,18,What was the title of the speech Mila had rehearsed with the audience in mind?,the delicate art of audience interaction,"She had spoken, that day, about the delicate art of audience interaction, how a whisper could fracture a mood or heal it with a single glance."
19,19,What was the date mentioned in the chapter?,"February 27, 2026","The date hung in his mind: , a year that promised closure but offered only silence."
20,20,What is the name of the bridge where the historical fashion show is taking place?,Brooklyn Bridge,"Across the span, actors assembled for a Civil War ball, their costuming immaculate, their gestures stiff and ritualistic."
21,21,What is the name of the bridge where the event is taking place?,The Williamsburg Bridge,The Williamsburg Bridge.
22,22,What day was the compound bow competition held?,"March 23, 2024","Washington Square Park. March 23, 2024. Mila Gonzalez."
23,23,Who is the designer of the blue-lacquered dress that Lily is wearing?,Quill Womack,"The designer, Quill Womack, had stopped by earlier to discuss her vision,"
24,24,What is the key to understanding learning analytics?,Interpreting patterns hidden within data streams.,the key to understanding learning analytics is in how we interpret the patterns hidden within these data streams.
25,25,What is the name of the protagonist in the play?,The protagonist is a ghost,a ghost in the steel's shadow
26,26,What date was burned into Mila's bones?,"June 14, 2025","The date, , was not written upon the invitation but burned into her bones with every detail she selected."
27,27,What was the event that Noah was initially supposed to attend?,The TED Talk: The Power of Resilience,His phone’s screen still showed the reminder: “TED Talk: The Power of Resilience – 4:50 PM.”
28,28,What is the name of the museum where Zoe is conducting astronomy app tutorials?,The Metropolitan Museum of Art,"The grand marble steps echoed with the hush of a crowd, the air cool with autumn and the faint, metallic tang of city lights filtering through the soaring vaults of the . Shadows danced along the iron railings, flickering as spotlights traced paths through the museum’s endless galleries, illuminating sculptures and tapestries that seemed frozen in time."
29,29,What is the name of the museum where the film festival is held?,American Museum of Natural History,"The grand entry hall of the , casting intricate shadows across the stone archways."
30,30,"What was Carter's role in the performance at Yankee Stadium on January 3rd, 2026?",He was a mime.,"Tonight, he would not speak. He would be the whisper between gestures, the shape the air took when meaning walked quietly."
31,31,What was the principal dancer's name that Carter recognized?,Amir Woo,"He recognized her—Amir Woo—the principal dancer,"
32,32,What date is marked on the entrance of the High Line gallery?,"September 22, 2026","High Line. September 22, 2026."
33,33,Who is the conductor of the orchestra?,Pax Talley,"Samuel recognized Pax Talley, the conductor, his silhouette sharp against the indigo wash, baton poised."
34,34,Who was the dancer performing the fire puppyhammer technique?,Lucy Carter,"The dancer stepped from the ring, trailing glowing cinders, her. Lucy Carter."
35,35,What is the name of the place where Lillian is trying to decide whether to sing?,Chelsea Market,Chelsea Market.
36,36,What is the name of the building where Noah is waiting?,The Woolworth Building,"The lobby’s seats, the glass of the nearby store windows, the projection shimmered: the grandeur of the Woolworth’s upper floors"
37,37,What date was the event held on?,"November 13, 2026","November 13, 2026."
38,38,Who was chosen to act as the silent arbiter of logic and chaos at the code reviews?,Henry Reed,"Teams were rushing toward the final round of code reviews, and Henry had been chosen—yet again—to act as the silent arbiter of logic and grace among chaos."
39,39,What was the date of the performance on the Williamsburg Bridge?,"November 13, 2026","The clock above the souvenir kiosk ticked, steady and deliberate, as if time itself waited for the performance to peak. —she would remember only this date long after, as the one when fire seemed to remember her most."
40,40,Where was the educational workshop on industry relevance held?,The Metropolitan Museum of Art,"On , pushed through the marble vestibule of the , the hushed thrum of hundreds of feet and murmured French echoing between vaulted ceilings."
41,41,What was the date of the event where Zoe was a judging panel member?,"January 26, 2025","January 26, 2025. Zoe Brown."
42,42,"What is the name of the festival being celebrated on October 13, 2024?",Brooklyn Ross,Hosted film award ceremonies.
43,43,What was the rare celestial alignment that Bella Alvarez had been waiting for?,a convergence of celestial alignment and human curiosity,"she knew tonight was special, a rare convergence of celestial alignment and human curiosity,"
44,44,What date was Hazel's work unveiled?,"February 27, 2026","February 27, 2026."
45,45,Who is the author being introduced?,Scarlett Thomas,"She carried herself with that same careful gravity she’d spoken of in her interviews, the weight of explanation pressing on her chest as she was introduced, her voice steady but edged with the unspoken awareness of how stories end even before the final page."
46,46,Who conducted celestial navigation workshops?,Vada Dunning,"She eyed the horizon, noting the faint shimmer of cloud that still drifted beneath the city's distant towers. On the far end, Vada Dunning—a woman. Conducted celestial navigation workshops."
47,47,What is the name of the seminar Henry is conducting?,Body Language for Debate Victory,"His seminar today was “Body Language for Debate Victory,”"
48,48,What is the name of the elevated walkway mentioned in the chapter?,The High Line,"The name itself seemed to hum in the air, a phrase spoken in reverence, as if naming the structure altered its essence."
49,49,What date was it when Zoe Brown conducted a celestial navigation workshop in Washington Square Park?,"December 26, 2026","The date——was almost invisible, marked only by the faint chill of winter and the knowledge that the sky tonight would change nothing for most, but everything for her students. December 26, 2026."
50,50,What is the main topic of Carter's lecture?,Statistical analysis,"“Understanding variance, hypothesis testing, and p-values isn’t merely technique,” he explained, tapping at a digital tablet. “It’s about discerning patterns in chaos—decoding what is real from what is noise.”"
51,51,What is the name of the leader in the first circle?,Daisy Whittington,a woman with hair spun from silver mist and eyes like polished onyx (she called herself Daisy Whittington)
52,52,What was Lucy's contribution to the demo?,She integrated third-party services into their demo.,"Her hands danced over a tablet as she synced a weather API with a chatbot and a food delivery platform all at once; the resulting interface flickered into life with a dramatic “BINGO!” sound,"
53,53,What was the name of the event where Levi was attending?,Snug Harbor's annual Tech Hackathon,"“Welcome, everyone, to Snug Harbor’s annual Tech Hackathon!”"
54,54,What was Levi's emotional response to the music about to begin?,He felt an unfamiliar warmth in his chest.,"For Levi, the act of listening was as much a ritual as breathing; in that moment, he knew he was here to witness more than a performance, but a conversation across time and space."
55,55,What is the name of the venue where the conference is being held?,Snug Harbor Cultural Center,The conference hall was held at the Snug Harbor Cultural Center.
56,56,What was the name of the museum where Carter was leading a fitness class?,American Museum of Natural History,"American Museum of Natural History. September 13, 2025."
57,57,What was the name of the event that had been named in Zoe's honor?,Bethpage Black Course,The event had been named in her honor—a Bethpage Black Course.
58,58,What instrument did Genevieve Kelley play in the orchestra?,Genevieve Kelley played the cello.,"The orchestra’s cellist—Genevieve Kelley—waited, poised and silent, eyes closed as though holding the music in his lungs."
59,59,What was the name of the person who was an architect of possibilities and revealed upcoming trends?,Lillian Mendoza,Lillian Mendoza. Revealed upcoming trends.
60,60,Who was the mastermind behind the organized murder mystery weekend retreat?,Noah Williams,No one knew except as the mastermind behind this curated weekend—the man who had carefully constructed the scenario so the game could begin with a shock.
61,61,What was the name whispered in the air at the fairgrounds?,Bethpage Black Course,", was the name whispered in the air—unspoken, yet undeniable."
62,62,What was the time when Carter Stewart was running behind schedule?,9:47 AM,"The clock on the wall read 9:47 AM,"
63,63,What is the main event that Maya has organized for the night?,astrophotography workshops,"The astrophotography workshops she’d organized were finally underway,"
