q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx,original_minerva_category
4,2,376,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.","(*, s, *, *)","(*, {Sedna Long Range Observatory}, *, *)",story_diff::set_difference,all,"{""only_in_A"": [""Lily Nguyen"", ""Mila Gonzalez""], ""only_in_B"": [""atmospheric scrubber failure"", ""cryo-pod integrity breach"", ""digital afterlife server shutdown""]}",,"{""only_in_A"": [""Lily Nguyen"", ""Mila Gonzalez""], ""only_in_B"": [""atmospheric scrubber failure"", ""cryo-pod integrity breach"", ""digital afterlife server shutdown""]}",2,2,set(),,Spot the Differences,Story synthetic spot_the_differences,t|ent|c,s,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,0,Search
15,1,1096,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({April 09, 2226}, *, {Scarlett Thomas}, *)",story_compute::sort_items,chronological,"[""subspace antenna failure""]",,"{""sorted_items"": [""subspace antenna failure""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,s|c,t|ent,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,1,Search
29,1,505,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({December 26, 2226}, {Europa Subsurface Laboratory}, {Zoe Brown}, {subspace antenna failure})",Full event details,all,{'Full chapter 49'},{49},{49: ['Full chapter 49']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,2,
28,1,815,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2226}, {Sedna Long Range Observatory}, {Lily Nguyen}, {fusion core breach})",Other entities,all,set(),{23},{23: []},0,1,set(),,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,3,
30,0,2650,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,"(*, *, ent, *)","(*, *, {Daniel Lopez}, *)",Times,latest,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,4,
5,"{3,4,5}",729,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Hydra Cloud Facility}, *, *)",Event contents,all,"{'cryo-pod integrity breach', 'digital afterlife server shutdown', 'atmospheric scrubber failure'}","{8, 53, 14, 55}","{8: 'digital afterlife server shutdown', 14: 'cryo-pod integrity breach', 53: 'cryo-pod integrity breach', 55: 'atmospheric scrubber failure'}",3,4,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,5,
11,0,2296,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {bio-neural gel pack infection})",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,"{'content', 'location', 'entity'}",False,Stateful Processing,Story synthetic stateful_processing,t|s|ent,c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,6,Search
16,1,623,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.","(t, *, *, c)","({April 09, 2226}, *, *, {cryo-pod integrity breach})",story_compare::intersection,all,set(),,{'shared_items': []},1,1,set(),,Match and Compare,Story synthetic match_and_compare,s|ent,t|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,7,Search
29,1,450,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({April 09, 2226}, {Hydra Cloud Facility}, {Benjamin Green}, {cryo-pod integrity breach})",Full event details,all,{'Full chapter 14'},{14},{14: ['Full chapter 14']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,8,
27,1,77,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Eridani Metallurgy Complex}, {Carter Stewart}, {tachyon field surge})",story_compute::sort_items,chronological,"[""October 27, 2224""]",,"{""sorted_items"": [""October 27, 2224""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,t,s|ent|c,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,9,Search
25,1,1313,"Story recall-and-edit: Start from the answer to this story query: ""Think about the events related to subspace antenna failure that occurred at Europa Subsurface Laboratory on December 26, 2226. List all protagonists involved in these events, without describing the events themselves."". Remove ""Zoe Brown"" from the answer. Return only the remaining items.","(t, s, *, c)","({December 26, 2226}, {Europa Subsurface Laboratory}, *, {subspace antenna failure})",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,ent,t|s|c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,10,Search
25,1,1315,"Story composite task: Use two story queries.
A) Think about the events related to subspace antenna failure that occurred at Mercury Twilight Observatory on April 09, 2226. List all protagonists involved in these events, without describing the events themselves.
B) Think about the events related to atmospheric scrubber failure that occurred at Eridani Metallurgy Complex on April 09, 2226. List all protagonists involved in these events, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, s, *, c)","({April 09, 2226}, {Mercury Twilight Observatory}, *, {subspace antenna failure})",story_composite::difference_then_sort,all,"[""Scarlett Thomas""]",,"{""remaining_sorted"": [""Scarlett Thomas""]}",1,1,set(),,Composite,Story synthetic composite,ent,t|s|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,11,Search
19,0,2216,"Story spot-the-differences: Compare answers of these two story queries.
A) Reflect on Carter Stewart's experiences at Cygnus Rift Complex. Describe all the key events they've been involved in at this location, focusing on what happened rather than when it occurred.
B) Story recall-and-edit: For query ""Consider all events involving Ella Ross at Dione Ice Processing Facility. Provide a list of all dates when these events occurred, without describing the events."", return an empty answer.
Return only_in_A and only_in_B.","(*, s, ent, *)","(*, {Cygnus Rift Complex}, {Carter Stewart}, *)",story_diff::set_difference,all,"{""only_in_A"": [], ""only_in_B"": []}",,"{""only_in_A"": [], ""only_in_B"": []}",0,0,"{'content', 'location'}",False,Spot the Differences,Story synthetic spot_the_differences,t|c,s|ent,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,12,Search
26,0,1746,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider the events involving both Noah Williams and atmospheric scrubber failure on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Consider the events involving both Levi Rodriguez and subspace antenna failure on December 26, 2226. List all the locations where these events took place, without describing the events themselves.
Return the intersection.","(t, *, ent, c)","({April 09, 2226}, *, {Noah Williams}, {atmospheric scrubber failure})",story_compare::intersection,all,set(),,{'shared_items': []},0,0,"{'content', 'date', 'entity'}",True,Match and Compare,Story synthetic match_and_compare,s,t|ent|c,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,13,Search
17,1,1166,"Story recall-and-edit: Start from the answer to this story query: ""Think about the events involving artificial atmosphere toxicity on February 27, 2226. Provide a list of all protagonists involved in these events, without describing the events."". Remove ""Benjamin Green"" from the answer. Return only the remaining items.","(t, *, *, c)","({February 27, 2226}, *, *, {artificial atmosphere toxicity})",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,s|ent,t|c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,14,Search
8,0,2415,"Story spot-the-differences: Compare answers of these two story queries.
A) Think about Ellie Garcia's experiences. Describe all the key events they've been involved in, focusing on what happened rather than when or where it occurred.
B) What was Daniel Lopez doing the last time they were observed in the story's timeline?
Return only_in_A and only_in_B.","(*, *, ent, *)","(*, *, {Ellie Garcia}, *)",story_diff::set_difference,all,"{""only_in_A"": [], ""only_in_B"": []}",,"{""only_in_A"": [], ""only_in_B"": []}",0,0,{'entity'},False,Spot the Differences,Story synthetic spot_the_differences,t|s|c,ent,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,15,Search
3,"{3,4,5}",1135,"Think about all events that have occurred at Luna Oceanus Trading Post. Provide a list of all dates when these events took place, without describing the events.","(*, s, *, *)","(*, {Luna Oceanus Trading Post}, *, *)",Times,all,"{'May 11, 2226', 'September 22, 2226', 'October 12, 2224'}","{40, 50, 28}","{28: 'October 12, 2224', 40: 'May 11, 2226', 50: 'September 22, 2226'}",3,3,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,16,
5,6+,735,"Recall the various events that have taken place at Mercury Twilight Observatory. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Mercury Twilight Observatory}, *, *)",Event contents,all,"{'main power grid overload', 'memory patent warfare', 'magnetic confinement rupture', 'antimatter cascade', 'cryo-pod integrity breach', 'matter synthesizer overload', 'subspace antenna failure', 'fusion core breach', 'digital afterlife server shutdown'}","{32, 34, 5, 42, 12, 46, 48, 17, 19}","{5: 'main power grid overload', 12: 'digital afterlife server shutdown', 17: 'cryo-pod integrity breach', 19: 'antimatter cascade', 32: 'fusion core breach', 34: 'memory patent warfare', 42: 'matter synthesizer overload', 46: 'subspace antenna failure', 48: 'magnetic confinement rupture'}",9,9,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,17,
14,0,1654,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the events involving Carter Stewart on August 27, 2224. List all the locations where these events took place, without describing the events themselves.
B) Reflect on what Carter Stewart experienced on August 27, 2224. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Return only_in_A and only_in_B.","(t, *, ent, *)","({August 27, 2224}, *, {Carter Stewart}, *)",story_diff::set_difference,all,"{""only_in_A"": [], ""only_in_B"": []}",,"{""only_in_A"": [], ""only_in_B"": []}",0,0,{'date'},False,Spot the Differences,Story synthetic spot_the_differences,s|c,t|ent,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,18,Search
11,1,981,"Story composite task: Use two story queries.
A) Reflect on events related to hyperspace beacon failure. Provide a list of all protagonists involved in these events, without describing the events.
B) Consider all events involving atmospheric scrubber failure. List all the locations where these events took place, without mentioning the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",story_composite::difference_then_sort,all,"[""Mila Gonzalez""]",,"{""remaining_sorted"": [""Mila Gonzalez""]}",1,1,set(),,Composite,Story synthetic composite,t|s|ent,c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,19,Search
18,1,52,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving Zoe Brown at Barnard's Star Propulsion Lab. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {Barnard's Star Propulsion Lab}, {Zoe Brown}, *)",story_compute::sort_items,chronological,"[""November 13, 2226""]",,"{""sorted_items"": [""November 13, 2226""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,t|c,s|ent,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,20,Search
20,0,1929,"Story recall-and-edit: For query ""Recall all events related to magnetospheric resonance breach that occurred at Barnard's Star Propulsion Lab. Provide a list of all dates when these events took place, without describing the events."", return an empty answer.","(*, s, *, c)","(*, {Barnard's Star Propulsion Lab}, *, {magnetospheric resonance breach})",story_edit::empty,all,set(),,{'remaining_items': []},0,0,"{'content', 'entity'}",False,Recall and Edit,Story synthetic recall_and_edit,t|ent,s|c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,21,Search
24,0,2190,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Recall what happened involving Noah Williams at Eridani Metallurgy Complex on April 09, 2226. Describe the key events or activities that occurred, focusing on what happened.","(t, s, ent, *)","({April 09, 2226}, {Eridani Metallurgy Complex}, {Noah Williams}, *)",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,"{'content', 'date', 'entity'}",True,Stateful Processing,Story synthetic stateful_processing,c,t|s|ent,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,22,Search
7,2,199,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider all events that Hazel Lewis has been involved in. List all the locations where these events took place, without mentioning the events themselves.
B) List all locations visited by Daniel Lopez in chronological order according to the story's timeline.
Return the intersection.","(*, *, ent, *)","(*, *, {Hazel Lewis}, *)",story_compare::intersection,all,set(),,{'shared_items': []},2,2,set(),,Match and Compare,Story synthetic match_and_compare,t|s|c,ent,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,23,Search
15,1,1073,"Story spot-the-differences: Compare answers of these two story queries.
A) Reflect on what Levi Rodriguez experienced on December 26, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
B) Reflect on what Jaxon Howard experienced on August 12, 2225. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Return only_in_A and only_in_B.","(t, *, ent, *)","({December 26, 2226}, *, {Levi Rodriguez}, *)",story_diff::set_difference,all,"{""only_in_A"": [""subspace antenna failure""], ""only_in_B"": []}",,"{""only_in_A"": [""subspace antenna failure""], ""only_in_B"": []}",1,1,set(),,Spot the Differences,Story synthetic spot_the_differences,s|c,t|ent,True,story_synthetic_balanced,True,spot_the_differences,Rebalanced from Search to Spot the Differences; cue preserved,24,Search
25,0,2558,"Story composite task: Use two story queries.
A) Think about the events related to cosmic string vibration that occurred at Makemake Station on August 12, 2225. List all protagonists involved in these events, without describing the events themselves.
B) Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Think about the events related to cryo-pod integrity breach that occurred at Hydra Cloud Facility on April 09, 2226. List all protagonists involved in these events, without describing the events themselves.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, s, *, c)","({August 12, 2225}, {Makemake Station}, *, {cosmic string vibration})",story_composite::difference_then_sort,all,[],,"{""remaining_sorted"": []}",0,0,"{'content', 'date', 'location', 'entity'}",False,Composite,Story synthetic composite,ent,t|s|c,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,25,Search
28,0,2174,"Recall what happened involving Lily Nguyen and wormhole destabilization at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2226}, {Sedna Long Range Observatory}, {Lily Nguyen}, {wormhole destabilization})",Other entities,all,set(),set(),{},0,0,{'content'},False,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,26,
27,0,1548,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Consider all events involving both Julian Peterson and magnetospheric resonance breach at Barnard's Star Propulsion Lab. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Barnard's Star Propulsion Lab}, {Julian Peterson}, {magnetospheric resonance breach})",story_state::latest_chapter,latest,0,,{'latest_chapter': 0},0,0,"{'content', 'entity'}",False,Stateful Processing,Story synthetic stateful_processing,t,s|ent|c,True,story_synthetic_balanced,True,stateful_processing,Rebalanced from Search to Stateful Processing; cue preserved,27,Search
1,0,1631,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Consider all events that happened on August 27, 2224. Provide a list of all protagonists involved in any of these events, without describing the events themselves.
B) Story composite task: Use two story queries.
A) Reflect on May 07, 2224. Describe all the key events that occurred on this date, focusing on what happened rather than who was involved or where it took place.
B) Story recall-and-edit: Start from the answer to this story query: ""Consider all events that happened on April 09, 2226. Provide a list of all protagonists involved in any of these events, without describing the events themselves."". Remove ""Benjamin Green"" from that answer. Return only the remaining items.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.
Return the intersection.","(t, *, *, *)","({August 27, 2224}, *, *, *)",story_compare::intersection,all,set(),,{'shared_items': []},0,0,{'date'},False,Match and Compare,Story synthetic match_and_compare,s|ent|c,t,True,story_synthetic_balanced,True,match_and_compare,Rebalanced from Search to Match and Compare; cue preserved,28,Search
27,0,1514,"Consider all events involving both Ella Ross and childhood memory trade scandal at Dione Ice Processing Facility. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Dione Ice Processing Facility}, {Ella Ross}, {childhood memory trade scandal})",Times,all,set(),set(),{},0,0,"{'content', 'date', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,29,
11,1,972,"Story recall-and-edit: Start from the answer to this story query: ""Reflect on events related to air filter contamination. Provide a list of all protagonists involved in these events, without describing the events."". Remove ""Scarlett Thomas"" from the answer. Return only the remaining items.","(*, *, *, c)","(*, *, *, {air filter contamination})",story_edit::remove_one,all,set(),,{'remaining_items': []},1,1,set(),,Recall and Edit,Story synthetic recall_and_edit,t|s|ent,c,True,story_synthetic_balanced,True,recall_and_edit,Rebalanced from Search to Recall and Edit; cue preserved,30,Search
26,1,333,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider the events involving both Lily Nguyen and fusion core breach on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2226}, *, {Lily Nguyen}, {fusion core breach})",story_compute::sort_items,chronological,"[""Sedna Long Range Observatory""]",,"{""sorted_items"": [""Sedna Long Range Observatory""]}",1,1,set(),,Compute on Sets and Lists,Story synthetic compute_on_sets_and_lists,s,t|ent|c,True,story_synthetic_balanced,True,compute_on_sets_and_lists,Rebalanced from Search to Compute on Sets and Lists; cue preserved,31,Search
1,"{3,4,5}",226,"Story recall-and-edit: Start from the answer to this story query: ""Consider all events that happened on May 11, 2226. Provide a list of all protagonists involved in any of these events, without describing the events themselves."". Remove ""Bella Alvarez"" from that answer. Return only the remaining items.","(t, *, *, *)","({May 11, 2226}, *, *, *)",story_edit::remove_one,all,"{'Chloe Castillo', 'Levi Rodriguez', 'Henry Reed', 'Samuel Parker'}",,"{'remaining_items': ['Chloe Castillo', 'Henry Reed', 'Levi Rodriguez', 'Samuel Parker']}",5,5,set(),,Recall and Edit,Story-grounded remove-one edit,s|ent|c,t,True,story_synthetic,True,recall_and_edit,Removed item: Bella Alvarez,32,
4,2,368,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider the location Mars Valles Industrial Hub. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Reflect on what Ezra Edwards experienced on December 03, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.
Return two lists: only_in_A and only_in_B.","(*, s, *, *)","(*, {Mars Valles Industrial Hub}, *, *)",story_diff::set_difference,all,"{""only_in_A"": [""Lucy Carter"", ""Mila Gonzalez""], ""only_in_B"": [""plasma conduit rupture""]}",,"{""only_in_A"": [""Lucy Carter"", ""Mila Gonzalez""], ""only_in_B"": [""plasma conduit rupture""]}",2,2,set(),,Spot the Differences,Story-grounded set difference,t|ent|c,s,True,story_synthetic,True,spot_the_differences,Compared q_idx 4 vs 15,33,
12,1,1376,"Story composite task: Use two story queries.
A) Think about what happened at Titania Quantum Lab on December 03, 2226. List all protagonists involved in any events at this time and place, without describing the events.
B) Recall the key events that occurred at Titania Quantum Lab on December 03, 2226. Describe what happened, focusing on the actions or occurrences rather than who was involved.
Take answer(A), remove all items that also appear in answer(B), then return the remaining items sorted alphabetically.","(t, s, *, *)","({December 03, 2226}, {Titania Quantum Lab}, *, *)",story_composite::difference_then_sort,all,"[""Ezra Edwards""]",,"{""remaining_sorted"": [""Ezra Edwards""]}",1,1,set(),,Composite,Story synthetic composite,ent|c,t|s,True,story_synthetic_balanced,True,composite,Rebalanced from Search to Composite; cue preserved,34,Search
