source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,source_file,n_gold,gold_bin
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:42+00:00,rag,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]","only_in_A: Sedna Long Range Observatory (not explicitly mentioned in the provided chunks, thus no protagonists listed)
only_in_B: atmospheric scrubber failure, antimatter cascade, monitor flashing red (these events are associated with Hydra Cloud Facility)",[],"[0.0, 0.0]",0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""atmospheric scrubber failure""],
  ""matching_scores"": [0.8],
  ""explanation"": ""Only 'atmospheric scrubber failure' from the events at Hydra Cloud Facility is present in the AI answer, while the AI did not mention any protagonists at Sedna Long Range Observatory (so no match for that side). The score",Spot the Differences,t|ent|c,ok,scifi_qwen25_14b_rag.answers.jsonl,2,2
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:45+00:00,rag,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],unsure,[],[0.0],0,0.0,0.0,0.0,0,"The AI did not identify any items related to Scarlett Thomas's experiences on April 09, 2226, as there are no events provided in the ground truth for that date.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI did not identify any items related to Scarlett Thomas's experiences on April 09, 2226, as there are no events provided in the ground truth for that date.""
}",Compute on Sets and Lists,s|c,ok,scifi_qwen25_14b_rag.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:48+00:00,rag,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],"On December 26, 2226, at the Europa Subsurface Laboratory, there was a sudden and violent failure of the subspace antenna. Zoe Brown, who was present in the lab, noticed an abrupt discordant shriek from the communications array. The main subspace antenna, which usually hummed with activity, stuttered and fell silent. This was followed by alarms flashing crimson",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""subspace antenna failure"", ""Europa Subsurface Laboratory"", ""December 26, 2226""],
  ""matching_scores"": [0.85, 0.9, 0.8],
  ""explanation"": ""The AI answer identifies the location (Europa Subsurface Laboratory), the event (subspace antenna failure), and the",Composite,,ok,scifi_qwen25_14b_rag.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:50+00:00,rag,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"The AI answer 'unsure' does not identify any entities involved in the event at the Sedna Long Range Observatory on April 09, 2226, and thus does not match any ground-truth items.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer 'unsure' does not identify any entities involved in the event at the Sedna Long Range Observatory on April 09, 2226, and thus does not match any ground-truth items.""
}",Match and Compare,,ok,scifi_qwen25_14b_rag.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:53+00:00,rag,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],"February 27, 2226","['February 27, 2226']",[],0,0.0,1.0,0.0,0,"No ground-truth items were provided, so the AI answer could not be matched to any observed or mentioned dates in the story's chronology.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""February 27, 2226""],
  ""matching_scores"": [0.0],
  ""explanation"": ""No ground-truth items were provided, so the AI answer could not be matched to any observed or mentioned dates in the story's chronology.""
}",Stateful Processing,t|s|c,ok,scifi_qwen25_14b_rag.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:56+00:00,rag,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['atmospheric scrubber failure', 'digital afterlife server shutdown', 'cryo-pod integrity breach']","Atmospheric scrubber failure caused alarms to blare and error codes to appear on screens. Seals began to fail, leading to the venting of cryo fluid and the potential loss of life due to containment failure in cryo-pods. Monitors flashed red, indicating an issue requiring attention. An antimatter cascade occurred within the sealed, high-security chambers.",[],"[0.0, 0.0, 0.0]",0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""containment breach"", ""atmospheric scrubber failure"", ""antimatter cascade""],
  ""matching_scores"": [0.8, 1.0, 0.6],
  ""explanation"": ""The AI identifies the key events mentioned in its answer ('atmospheric scrubber failure' directly matches a ground-truth item with",Search,t|ent|c,ok,scifi_qwen25_14b_rag.answers.jsonl,3,3-5
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T18:59:57+00:00,rag,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],unsure,['bio-neural gel pack infection'],[0.0],0,0.0,0.0,0.0,0,The AI answer did not list any protagonists; it provided uncertainty rather than specific names.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""bio-neural gel pack infection""],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer did not list any protagonists; it provided uncertainty rather than specific names.""
}",Stateful Processing,t|s|ent,ok,scifi_qwen25_14b_rag.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T19:00:00+00:00,rag,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],unsure,[],[],0,1.0,1.0,1.0,1,"No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were described in the AI answer, so there are no shared items to identify.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were described in the AI answer, so there are no shared items to identify.""
}",Match and Compare,s|ent,ok,scifi_qwen25_14b_rag.answers.jsonl,0,0
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T19:00:03+00:00,rag,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],"Unsure. The provided chunks do not contain information about Benjamin Green or a cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. The closest match is an event at Hydra Cloud Facility, but it does not specify Benjamin Green or the exact date requested.",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer did not identify any relevant information from the provided ground-truth item (\""Full chapter 14\""). There is no mention of Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226 in the",Composite,,ok,scifi_qwen25_14b_rag.answers.jsonl,1,1
/workspace/scifi_qwen25_14b_rag.answers.jsonl,2026-04-08T19:00:05+00:00,rag,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']",unsure,[],[0.0],0,0.0,0.0,0.0,0,"No dates were identified in the AI answer, so it did not match the ground-truth item.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""No dates were identified in the AI answer, so it did not match the ground-truth item.""
}",Compute on Sets and Lists,t,ok,scifi_qwen25_14b_rag.answers.jsonl,1,1
