q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change
9,1,487,"Recall all events related to air filter contamination. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {air filter contamination})",Times,all,"{'June 14, 2225'}",{42},"{42: 'June 14, 2225'}",1,1,set(),
9,1,500,"Recall all events related to communication array blackout. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {communication array blackout})",Times,all,"{'September 03, 2226'}",{19},"{19: 'September 03, 2226'}",1,1,set(),
9,1,526,"Recall all events related to hyperspace beacon failure. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Times,all,"{'March 23, 2224'}",{21},"{21: 'March 23, 2224'}",1,1,set(),
9,1,531,"Recall all events related to ion storm interference. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {ion storm interference})",Times,all,"{'September 22, 2226'}",{26},"{26: 'September 22, 2226'}",1,1,set(),
9,1,536,"Recall all events related to main power grid overload. Provide a list of all dates when these events occurred, without describing the events.","(*, *, *, c)","(*, *, *, {main power grid overload})",Times,all,"{'March 23, 2224'}",{5},"{5: 'March 23, 2224'}",1,1,set(),
11,1,931,"Reflect on events related to air filter contamination. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {air filter contamination})",Entities,all,{'Scarlett Thomas'},{42},{42: 'Scarlett Thomas'},1,1,set(),
11,1,935,"Reflect on events related to communication array blackout. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {communication array blackout})",Entities,all,{'Hazel Lewis'},{19},{19: 'Hazel Lewis'},1,1,set(),
11,1,940,"Reflect on events related to hyperspace beacon failure. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {hyperspace beacon failure})",Entities,all,{'Mila Gonzalez'},{21},{21: 'Mila Gonzalez'},1,1,set(),
11,1,942,"Reflect on events related to ion storm interference. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {ion storm interference})",Entities,all,{'Noah Williams'},{26},{26: 'Noah Williams'},1,1,set(),
11,1,944,"Reflect on events related to main power grid overload. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {main power grid overload})",Entities,all,{'Logan Diaz'},{5},{5: 'Logan Diaz'},1,1,set(),
10,1,56,"Consider all events involving air filter contamination. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {air filter contamination})",Spaces,all,"{""Teegarden's Star Base""}",{42},"{42: ""Teegarden's Star Base""}",1,1,set(),
