q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx
18,1,19,"Consider all events involving Carter Stewart at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, *)","(*, {American Museum of Natural History}, {Carter Stewart}, *)",Times,all,"{'September 13, 2025'}",{56},"{56: 'September 13, 2025'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t|c,s|ent,True,original,False,,,0
33,0,3225,"Provide a chronological list of all dates when Ella Ross was observed, from earliest to latest in the story's timeline.","(*, *, ent, *)","(*, *, {Ella Ross}, *)",Times,chronological,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False,Compute on Sets and Lists,Temporal ordering over retrieved events,t|s|c,ent,True,original,False,,,1
25,1,2264,"Think about the events related to Fashion Show that occurred at Brooklyn Museum on April 09, 2026. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({April 09, 2026}, {Brooklyn Museum}, *, {Fashion Show})",Entities,all,{'Lily Nguyen'},{23},{23: 'Lily Nguyen'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,2
15,0,4261,"Reflect on what Chloe Castillo experienced on August 17, 2025. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({August 17, 2025}, *, {Chloe Castillo}, *)",Event contents,all,set(),set(),{},0,0,{'date'},False,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,3
22,0,2668,"Consider all events involving both Bella Alvarez and Environmental Summit. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Bella Alvarez}, {Environmental Summit})",Times,all,set(),set(),{},0,0,{'content'},False,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,4
26,1,578,"Story spot-the-difference: Compare the answers to these two story queries and list differences.
A) Consider the events involving both Jackson Ramos and Flash Mob on April 09, 2026. List all the locations where these events took place, without describing the events themselves.
B) Reflect on events related to Archery Tournament. Provide a list of all protagonists involved in these events, without describing the events.
Return two lists: only_in_A and only_in_B.","(t, *, ent, c)","({April 09, 2026}, *, {Jackson Ramos}, {Flash Mob})",story_diff::set_difference,all,"{""only_in_A"": [""Ellis Island""], ""only_in_B"": [""Julian Ross"", ""Mila Gonzalez""]}",,"{""only_in_A"": [""Ellis Island""], ""only_in_B"": [""Julian Ross"", ""Mila Gonzalez""]}",1,1,set(),,Spot the Differences,Story-grounded set difference,s,t|ent|c,True,story_synthetic,True,spot_the_differences,Compared q_idx 26 vs 11,5
31,0,4834,What is the most recent location where Christian Patel was observed in the story's chronological timeline?,"(*, *, ent, *)","(*, *, {Christian Patel}, *)",Spaces,latest,set(),set(),{},0,0,"{'entity', 'date', 'location'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,6
27,1,232,"Consider all events involving both Julian Ross and Film Festival at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Julian Ross}, {Film Festival})",Times,all,"{'October 27, 2024'}",{29},"{29: 'October 27, 2024'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,7
7,1,366,"Consider all events that Isaiah Bennett has been involved in. List all the locations where these events took place, without mentioning the events themselves.","(*, *, ent, *)","(*, *, {Isaiah Bennett}, *)",Spaces,all,{'Bethpage State Park'},{105},{105: 'Bethpage State Park'},1,1,set(),,Search,Keyed retrieval from episodic event memory,t|s|c,ent,True,original,False,,,8
13,1,1187,"Recall the key events that occurred at High Line on April 09, 2026. Describe what happened, focusing on the actions or occurrences rather than who was involved.","(t, s, *, *)","({April 09, 2026}, {High Line}, *, *)",Event contents,all,{'Astronomy Night'},{46},{46: 'Astronomy Night'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,9
10,0,2554,"Consider all events involving Antique Auction. List all the locations where these events took place, without mentioning the events themselves.","(*, *, *, c)","(*, *, *, {Antique Auction})",Spaces,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,10
27,2,174,"Consider all events involving both Chloe Castillo and Fashion Show at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Chloe Castillo}, {Fashion Show})",Times,all,"{'September 22, 2026', 'February 22, 2025'}","{2, 107}","{2: 'September 22, 2026', 107: 'February 22, 2025'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,11
28,0,3894,"Recall what happened involving Lucy Carter and Antique Auction at Captree State Park on April 09, 2026 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2026}, {Captree State Park}, {Lucy Carter}, {Antique Auction})",Other entities,all,set(),set(),{},0,0,"{'content', 'location'}",False,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,12
27,1,251,"Consider all events involving both Levi Rodriguez and Fashion Show at American Museum of Natural History. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {American Museum of Natural History}, {Levi Rodriguez}, {Fashion Show})",Times,all,"{'July 31, 2025'}",{99},"{99: 'July 31, 2025'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,13
29,1,777,"Provide a comprehensive account of what happened involving Brooklyn Ross and Educational Workshop at One World Trade Center on April 09, 2026. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({April 09, 2026}, {One World Trade Center}, {Brooklyn Ross}, {Educational Workshop})",Full event details,all,{'Full chapter 104'},{104},{104: ['Full chapter 104']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,14
22,0,2674,"Consider all events involving both Brooklyn Ross and Book Signing Event. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Brooklyn Ross}, {Book Signing Event})",Times,all,set(),set(),{},0,0,"{'content', 'location'}",True,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,15
25,0,4622,"Think about the events related to Charity Gala that occurred at Chrysler Building on August 27, 2024. List all protagonists involved in these events, without describing the events themselves.","(t, s, *, c)","({August 27, 2024}, {Chrysler Building}, *, {Charity Gala})",Entities,all,set(),set(),{},0,0,"{'content', 'entity', 'date', 'location'}",False,Search,Keyed retrieval from episodic event memory,ent,t|s|c,True,original,False,,,16
12,1,2372,"Think about what happened at Ellis Island on April 09, 2026. List all protagonists involved in any events at this time and place, without describing the events.","(t, s, *, *)","({April 09, 2026}, {Ellis Island}, *, *)",Entities,all,{'Jackson Ramos'},{98},{98: 'Jackson Ramos'},1,1,set(),,Search,Keyed retrieval from episodic event memory,ent|c,t|s,True,original,False,,,17
0,2,1027,"Recall all the events that occurred on August 24, 2026. Without describing the events, list all the unique locations where these events took place.","(t, *, *, *)","({August 24, 2026}, *, *, *)",Spaces,all,"{'Brooklyn Museum', 'American Museum of Natural History'}","{67, 100}","{67: 'Brooklyn Museum', 100: 'American Museum of Natural History'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,s|ent|c,t,True,original,False,,,18
26,0,3095,"Consider the events involving both Lucy Carter and Antique Auction on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2026}, *, {Lucy Carter}, {Antique Auction})",Spaces,all,set(),set(),{},0,0,"{'content', 'location'}",False,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,19
26,0,3040,"Consider the events involving both Chloe Castillo and Theater Performance on April 09, 2026. List all the locations where these events took place, without describing the events themselves.","(t, *, ent, c)","({April 09, 2026}, *, {Chloe Castillo}, {Theater Performance})",Spaces,all,set(),set(),{},0,0,{'entity'},True,Search,Keyed retrieval from episodic event memory,s,t|ent|c,True,original,False,,,20
22,0,2672,"Consider all events involving both Benjamin Green and Karaoke Night. Provide a list of all dates when these events occurred, without describing the events.","(*, *, ent, c)","(*, *, {Benjamin Green}, {Karaoke Night})",Times,all,set(),set(),{},0,0,"{'content', 'entity', 'location'}",True,Search,Keyed retrieval from episodic event memory,t|s,ent|c,True,original,False,,,21
