source_answers_file,timestamp_utc,mode,row_key,row_idx,combined_q_idx,q_idx,question,retrieval_type,get,ground_truth_items,answer,identified_items,matching_scores,tp,precision,recall,f1,exact_match,judge_explanation,judge_model,judge_status,status,judge_error,raw_judge_text,minerva_category,missing_tuple_elements,source_status,source_file,n_gold,gold_bin
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:08+00:00,,combined_q_idx:0,0,0,4,"Story spot-the-differences: Compare answers of these two story queries.
A) Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.
B) Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.
Return only_in_A and only_in_B.",story_diff::set_difference,all,"[""['Lily Nguyen', 'Mila Gonzalez']"", ""['atmospheric scrubber failure', 'cryo-pod integrity breach', 'digital afterlife server shutdown']""]","Return only_in_A = []
Return only_in_B = ['atmospheric scrubber failure', 'antimatter cascade', 'matter synthesizer overload']",['atmospheric scrubber failure'],"[0.8, 0.0]",1,1.0,0.5,0.666667,0,"Only 'atmospheric scrubber failure' from B matches a ground-truth item (in A, there are no protagonists listed in the AI answer).",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""atmospheric scrubber failure""],
  ""matching_scores"": [0.8],
  ""explanation"": ""Only 'atmospheric scrubber failure' from B matches a ground-truth item (in A, there are no protagonists listed in the AI answer).""
}",Spot the Differences,t|ent|c,ok,df_qa.llama_scifi_rag.answers.csv,2,2
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:11+00:00,,combined_q_idx:1,1,1,15,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.",story_compute::sort_items,chronological,['subspace antenna failure'],"[Chapter 26, Paragraph 175]
Her heart hammered, the steady rhythm of routine broken by the raw, electric chaos on the screen. (iii) , the log read in the upper right corner, its date glowing in the soft green of the interface.

[Chapter 46, Paragraph 315]
At first, Scarlett assumed it was a transient glitch, a common occurrence during solar flares",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""At first"", ""Chapter 46, Paragraph 315"", ""Chapter26, Paragraph 175""],
  ""matching_scores"": [0.0, 0.0, 0.0],
  ""explanation"": ""The AI answer lists three phrases, but none directly correspond to the ground-truth item 'subspace antenna failure'. Each",Compute on Sets and Lists,s|c,ok,df_qa.llama_scifi_rag.answers.csv,1,1
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:14+00:00,,combined_q_idx:2,2,2,29,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 49'],"[Chapter 49, Paragraph 339]
(iii) The failure was abrupt, violent—a collapse of potential that left the lab shrouded in a cold silence. Zoe’s breath quickened as she moved toward the control console, the emergency lights casting long, dancing shadows across the walls. Outside the main viewport, the surface of Europa was still, but the absence of subspace communication felt like",[],[0.0],0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""Chapter 49"", ""Paragraph 339"", ""the failure"", ""abrupt, violent—a collapse of potential"", ""lab shrouded in cold silence"", ""Zoe's breath quickened"", ""moving toward the control console"", ""emergency lights"", ""shadows across the walls"", ""absence of subspace communication""],
  ""matching_scores",Composite,,ok,df_qa.llama_scifi_rag.answers.csv,1,1
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:16+00:00,,combined_q_idx:3,3,3,28,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).",Other entities,all,[],"There is no information about Lily Nguyen and a fusion core breach at Sedna Long Range Observatory on April 09, 2226.",[],[],0,1.0,1.0,1.0,1,The AI answer states there is no information available about any individuals or events matching the provided ground-truth description.,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""The AI answer states there is no information available about any individuals or events matching the provided ground-truth description.""
}",Match and Compare,,ok,df_qa.llama_scifi_rag.answers.csv,0,0
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:19+00:00,,combined_q_idx:4,4,4,30,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,Times,latest,[],"February 27, 2226.","['February 27, 2226']",[],0,0.0,1.0,0.0,0,"No ground-truth items were provided, so the AI answer cannot be matched to any observed or mentioned dates in the story's chronology.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""February 27, 2226""],
  ""matching_scores"": [0.0],
  ""explanation"": ""No ground-truth items were provided, so the AI answer cannot be matched to any observed or mentioned dates in the story's chronology.""
}",Stateful Processing,t|s|c,ok,df_qa.llama_scifi_rag.answers.csv,0,0
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:22+00:00,,combined_q_idx:5,5,5,5,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.",Event contents,all,"['atmospheric scrubber failure', 'digital afterlife server shutdown', 'cryo-pod integrity breach']","A atmospheric scrubber failure, 
an antimatter cascade, 
a cryo-pod failure, 
a main power failure.",[],"[0.0, 0.0, 0.0]",0,0.0,0.0,0.0,0,,allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""atmospheric scrubber failure"", ""cryo-pod integrity breach""],
  ""matching_scores"": [0.8, 0.6],
  ""explanation"": ""The AI identified two of the three ground-truth events: 'atmospheric scrubber failure' and 'cryo-pod integrity breach' (the latter is partially",Search,t|ent|c,ok,df_qa.llama_scifi_rag.answers.csv,3,3-5
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:24+00:00,,combined_q_idx:6,6,6,11,"Story stateful-processing: For this story query, return only the latest chapter index from supporting chapters.
Query: Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.",story_state::latest_chapter,latest,['0'],"[Chapter 49, Paragraph 336]",['49'],[1.0],1,1.0,1.0,1.0,1,"The AI provided the chapter index (49) as the latest chapter, which matches the single ground-truth item (""0"" interpreted as chapter 0).",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [""49""],
  ""matching_scores"": [1.0],
  ""explanation"": ""The AI provided the chapter index (49) as the latest chapter, which matches the single ground-truth item (\""0\"" interpreted as chapter 0).""
}",Stateful Processing,t|s|ent,ok,df_qa.llama_scifi_rag.answers.csv,1,1
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:27+00:00,,combined_q_idx:7,7,7,16,"Story match-and-compare: Compare answers of these two story queries and list only shared items.
A) Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.
B) Think about the events involving tachyon field surge on April 09, 2226. Provide a list of all protagonists involved in these events, without describing the events.
Return the intersection.",story_compare::intersection,all,[],[],[],[],0,1.0,1.0,1.0,1,"No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were present in the AI answer, so there are no shared items with the ground-truth.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [],
  ""explanation"": ""No events (cryo-pod integrity breach or tachyon field surge on April 09, 2226) were present in the AI answer, so there are no shared items with the ground-truth.""
}",Match and Compare,s|ent,ok,df_qa.llama_scifi_rag.answers.csv,0,0
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:30+00:00,,combined_q_idx:8,8,8,29,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.",Full event details,all,['Full chapter 14'],"There is no mention of Benjamin Green and a cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226, in the retrieved context.",[],[0.0],0,0.0,0.0,0.0,0,"The AI answer did not identify or reference any information related to Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""The AI answer did not identify or reference any information related to Benjamin Green or a cryo-pod integrity breach at the Hydra Cloud Facility on April 09, 2226.""
}",Composite,,ok,df_qa.llama_scifi_rag.answers.csv,1,1
/workspace/df_qa.llama_scifi_rag.answers.csv,2026-04-08T19:44:33+00:00,,combined_q_idx:9,9,9,27,"Story compute-on-lists: For this story query answer, sort all returned items in ascending alphabetical order.
Query: Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.",story_compute::sort_items,chronological,"['October 27, 2224']","September 22, 2226",[],[0.0],0,0.0,0.0,0.0,0,"No ground-truth item matches the AI answer of 'September 22, 2226'. The AI answer is incorrect and does not correspond to any provided date.",allenai/OLMo-3-7B-Instruct,ok,ok,,"{
  ""identified_items_in_ai_answer"": [],
  ""matching_scores"": [0.0],
  ""explanation"": ""No ground-truth item matches the AI answer of 'September 22, 2226'. The AI answer is incorrect and does not correspond to any provided date.""
}",Compute on Sets and Lists,t,ok,df_qa.llama_scifi_rag.answers.csv,1,1
