q_idx,bins_items_correct_answer,debug_level_2,question,cue,cue_completed,retrieval_type,get,correct_answer,correct_answer_chapters,correct_answer_detailed,n_items_correct_answer,n_chapters_correct_answer,debug_changed,debug_existing_change,minerva_category,minerva_subtask,missing_tuple_elements,present_tuple_elements,minerva_category_known,combined_source,is_synthetic,synthetic_type,synthetic_note,combined_q_idx
4,2,376,"Consider the location Sedna Long Range Observatory. List all protagonists that have been involved in any events at this location, without mentioning the events themselves.","(*, s, *, *)","(*, {Sedna Long Range Observatory}, *, *)",Entities,all,"{'Lily Nguyen', 'Mila Gonzalez'}","{26, 23}","{23: 'Lily Nguyen', 26: 'Mila Gonzalez'}",2,2,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,0
15,1,1096,"Reflect on what Scarlett Thomas experienced on April 09, 2226. Describe all the key events they were involved in, focusing on what happened rather than where it occurred.","(t, *, ent, *)","({April 09, 2226}, *, {Scarlett Thomas}, *)",Event contents,all,{'subspace antenna failure'},{46},{46: 'subspace antenna failure'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|c,t|ent,True,original,False,,,1
29,1,505,"Provide a comprehensive account of what happened involving Zoe Brown and subspace antenna failure at Europa Subsurface Laboratory on December 26, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({December 26, 2226}, {Europa Subsurface Laboratory}, {Zoe Brown}, {subspace antenna failure})",Full event details,all,{'Full chapter 49'},{49},{49: ['Full chapter 49']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,2
28,1,815,"Recall what happened involving Lily Nguyen and fusion core breach at Sedna Long Range Observatory on April 09, 2226 and list only who else was involved (if anyone).","(t, s, ent, c)","({April 09, 2226}, {Sedna Long Range Observatory}, {Lily Nguyen}, {fusion core breach})",Other entities,all,set(),{23},{23: []},0,1,set(),,Match and Compare,Co-occurrence lookup excluding anchor entity,,t|s|ent|c,True,original,False,,,3
30,0,2650,What is the most recent date Daniel Lopez was observed or mentioned in the story's chronology?,"(*, *, ent, *)","(*, *, {Daniel Lopez}, *)",Times,latest,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False,Stateful Processing,Latest-state retrieval in an event stream,t|s|c,ent,True,original,False,,,4
5,"{3,4,5}",729,"Recall the various events that have taken place at Hydra Cloud Facility. Describe what happened during these events, focusing on the actions or occurrences rather than the timing or people involved.","(*, s, *, *)","(*, {Hydra Cloud Facility}, *, *)",Event contents,all,"{'cryo-pod integrity breach', 'digital afterlife server shutdown', 'atmospheric scrubber failure'}","{8, 53, 14, 55}","{8: 'digital afterlife server shutdown', 14: 'cryo-pod integrity breach', 53: 'cryo-pod integrity breach', 55: 'atmospheric scrubber failure'}",3,4,set(),,Search,Keyed retrieval from episodic event memory,t|ent|c,s,True,original,False,,,5
11,0,2296,"Reflect on events related to bio-neural gel pack infection. Provide a list of all protagonists involved in these events, without describing the events.","(*, *, *, c)","(*, *, *, {bio-neural gel pack infection})",Entities,all,set(),set(),{},0,0,"{'content', 'location', 'entity'}",False,Search,Keyed retrieval from episodic event memory,t|s|ent,c,True,original,False,,,6
16,1,623,"Recall the events related to cryo-pod integrity breach that occurred on April 09, 2226. List all the locations where these events took place, without describing the events themselves.","(t, *, *, c)","({April 09, 2226}, *, *, {cryo-pod integrity breach})",Spaces,all,{'Hydra Cloud Facility'},{14},{14: 'Hydra Cloud Facility'},1,1,set(),,Search,Keyed retrieval from episodic event memory,s|ent,t|c,True,original,False,,,7
29,1,450,"Provide a comprehensive account of what happened involving Benjamin Green and cryo-pod integrity breach at Hydra Cloud Facility on April 09, 2226. Include all relevant details about the event(s), including what occurred and any other pertinent information.","(t, s, ent, c)","({April 09, 2226}, {Hydra Cloud Facility}, {Benjamin Green}, {cryo-pod integrity breach})",Full event details,all,{'Full chapter 14'},{14},{14: ['Full chapter 14']},1,1,set(),,Composite,Story full event details,,t|s|ent|c,True,original,False,,,8
27,1,77,"Consider all events involving both Carter Stewart and tachyon field surge at Eridani Metallurgy Complex. Provide a list of all dates when these events occurred, without describing the events.","(*, s, ent, c)","(*, {Eridani Metallurgy Complex}, {Carter Stewart}, {tachyon field surge})",Times,all,"{'October 27, 2224'}",{31},"{31: 'October 27, 2224'}",1,1,set(),,Search,Keyed retrieval from episodic event memory,t,s|ent|c,True,original,False,,,9
